code,FacebookAI/xlm-roberta-large_max,FacebookAI/xlm-roberta-large_mean,avg
ceb_Latn,0.0777,0.0373,0.0777
sue_Latn,0.0,0.0,0.0
mzw_Latn,0.0,0.0,0.0
tur_Latn,0.5049,0.219,0.5049
hnj_Latn,0.0,0.0,0.0
nav_Latn,0.0,0.0,0.0
ksr_Latn,0.0,0.0,0.0
deu_Latn,0.5922,0.2482,0.5922
mog_Latn,0.0194,0.0058,0.0194
qwh_Latn,0.0194,0.0054,0.0194
faa_Latn,0.0,0.0,0.0
ghs_Latn,0.0097,0.0031,0.0097
mlp_Latn,0.0097,0.0012,0.0097
gbo_Latn,0.0097,0.0004,0.0097
zsr_Latn,0.0,0.0,0.0
top_Latn,0.0,0.0,0.0
cjp_Latn,0.0097,0.0023,0.0097
dip_Latn,0.0097,0.005,0.0097
esk_Latn,0.0097,0.0039,0.0097
ljp_Latn,0.1068,0.0466,0.1068
bvr_Latn,0.0,0.0,0.0
mcb_Latn,0.0,0.0,0.0
maj_Latn,0.0,0.0,0.0
knv_Latn,0.0,0.0,0.0
smo_Latn,0.0194,0.0047,0.0194
kma_Latn,0.0,0.0,0.0
guw_Latn,0.0097,0.0004,0.0097
bgs_Latn,0.0194,0.0039,0.0194
lbj_Tibt,0.0,0.0,0.0
bdd_Latn,0.0097,0.0012,0.0097
cko_Latn,0.0,0.0,0.0
zad_Latn,0.0,0.0,0.0
mwm_Latn,0.0194,0.0027,0.0194
ium_Laoo,0.0,0.0,0.0
gil_Latn,0.0,0.0,0.0
mmo_Latn,0.0,0.0,0.0
yuw_Latn,0.0,0.0,0.0
cas_Latn,0.0,0.0,0.0
gyr_Latn,0.0097,0.0035,0.0097
bkv_Latn,0.0,0.0,0.0
wol_Latn,0.0194,0.0117,0.0194
dad_Latn,0.0097,0.0043,0.0097
eka_Latn,0.0097,0.007,0.0097
pib_Latn,0.0097,0.0016,0.0097
hil_Latn,0.0874,0.0264,0.0874
apw_Latn,0.0,0.0,0.0
nuy_Latn,0.0,0.0,0.0
las_Latn,0.0097,0.005,0.0097
cwt_Latn,0.0,0.0,0.0
kdj_Latn,0.0097,0.0074,0.0097
ons_Latn,0.0,0.0,0.0
suk_Latn,0.0097,0.0016,0.0097
kue_Latn,0.0097,0.0012,0.0097
suz_Deva,0.0097,0.0012,0.0097
gnd_Latn,0.0097,0.0004,0.0097
csk_Latn,0.0097,0.0008,0.0097
fao_Latn,0.4175,0.1495,0.4175
due_Latn,0.0194,0.0078,0.0194
tab_Cyrl,0.0097,0.0004,0.0097
tvk_Latn,0.0,0.0,0.0
bcl_Latn,0.0971,0.0443,0.0971
meu_Latn,0.0194,0.0043,0.0194
kog_Latn,0.0097,0.0008,0.0097
ese_Latn,0.0,0.0,0.0
otq_Latn,0.0,0.0,0.0
buk_Latn,0.0097,0.0004,0.0097
aze_Latn,0.534,0.2369,0.534
ayr_Latn,0.0194,0.0027,0.0194
nou_Latn,0.0097,0.0019,0.0097
gvn_Latn,0.0194,0.0019,0.0194
mad_Latn,0.0194,0.0148,0.0194
gag_Cyrl,0.0583,0.0249,0.0583
izr_Latn,0.0,0.0,0.0
mbs_Latn,0.0194,0.0016,0.0194
btt_Latn,0.0097,0.0012,0.0097
kmo_Latn,0.0,0.0,0.0
kha_Latn,0.0194,0.0016,0.0194
tna_Latn,0.0097,0.0012,0.0097
hvn_Latn,0.0097,0.0031,0.0097
mwc_Latn,0.0097,0.0054,0.0097
zaj_Latn,0.0194,0.005,0.0194
ttc_Latn,0.0097,0.0023,0.0097
ojb_Latn,0.0097,0.0004,0.0097
srm_Latn,0.0194,0.0035,0.0194
nsn_Latn,0.0097,0.0019,0.0097
crt_Latn,0.0,0.0,0.0
urd_Arab,0.3398,0.1115,0.3398
sbs_Latn,0.0194,0.005,0.0194
npy_Latn,0.0097,0.0039,0.0097
eko_Latn,0.0097,0.0012,0.0097
wob_Latn,0.0,0.0,0.0
mxq_Latn,0.0097,0.0008,0.0097
apy_Latn,0.0097,0.0004,0.0097
kpj_Latn,0.0097,0.0016,0.0097
lus_Latn,0.0,0.0,0.0
hmr_Latn,0.0,0.0,0.0
lem_Latn,0.0,0.0,0.0
miq_Latn,0.0194,0.007,0.0194
kaz_Cyrl,0.4563,0.181,0.4563
shn_Mymr,0.0,0.0,0.0
tcz_Latn,0.0194,0.0089,0.0194
kez_Latn,0.0097,0.0004,0.0097
