code,Qwen/Qwen3.5-9B-Base_max,Qwen/Qwen3.5-9B-Base_mean,avg
khk_Latn,0.0194,0.0026,0.0194
tnk_Latn,0.0097,0.0018,0.0097
mfh_Latn,0.0194,0.0056,0.0194
loz_Latn,0.068,0.0282,0.068
mua_Latn,0.0194,0.0071,0.0194
nhy_Latn,0.0291,0.0121,0.0291
vmy_Latn,0.0194,0.0115,0.0194
ben_Beng,0.3689,0.1468,0.3689
gdr_Latn,0.0097,0.0015,0.0097
xbr_Latn,0.0097,0.0006,0.0097
mcf_Latn,0.0097,0.0029,0.0097
tim_Latn,0.0194,0.0044,0.0194
miz_Latn,0.0194,0.0097,0.0194
cux_Latn,0.0097,0.0056,0.0097
gnn_Latn,0.0,0.0,0.0
zom_Latn,0.0485,0.0109,0.0485
tso_Latn,0.0971,0.0347,0.0971
nbe_Latn,0.0291,0.0068,0.0291
atb_Latn,0.0097,0.0035,0.0097
hnn_Latn,0.0971,0.0274,0.0971
ssx_Latn,0.0097,0.0003,0.0097
moc_Latn,0.0194,0.0041,0.0194
heb_Hebr,0.6796,0.3689,0.6796
lef_Latn,0.0194,0.0053,0.0194
mlt_Latn,0.4757,0.2239,0.4757
bgt_Latn,0.0485,0.0141,0.0485
gup_Latn,0.0291,0.0076,0.0291
mam_Latn,0.0291,0.0085,0.0291
yor_Latn,0.2233,0.0762,0.2233
yle_Latn,0.0097,0.0006,0.0097
zac_Latn,0.0291,0.0121,0.0291
bam_Latn,0.0388,0.0141,0.0388
bkq_Latn,0.0194,0.0044,0.0194
krj_Latn,0.2427,0.0947,0.2427
cat_Latn,0.767,0.4337,0.767
cbc_Latn,0.0194,0.0018,0.0194
dgz_Latn,0.0097,0.0018,0.0097
myv_Cyrl,0.0874,0.0259,0.0874
qug_Latn,0.0874,0.0227,0.0874
dts_Latn,0.0194,0.0035,0.0194
lgm_Latn,0.0291,0.0082,0.0291
tdt_Latn,0.068,0.0268,0.068
kac_Latn,0.0097,0.0032,0.0097
lat_Latn,0.9709,0.7055,0.9709
gor_Latn,0.0194,0.0103,0.0194
rmq_Latn,0.0777,0.0332,0.0777
ctd_Latn,0.0291,0.0053,0.0291
gle_Latn,0.4466,0.1933,0.4466
bmh_Latn,0.0097,0.0047,0.0097
asg_Latn,0.0194,0.0018,0.0194
ven_Latn,0.0777,0.0265,0.0777
kwd_Latn,0.0194,0.0026,0.0194
blw_Latn,0.0388,0.0115,0.0388
miy_Latn,0.0097,0.0006,0.0097
itv_Latn,0.0583,0.0194,0.0583
kxm_Thai,0.0291,0.0047,0.0291
kck_Latn,0.0777,0.0268,0.0777
cpu_Latn,0.0194,0.0109,0.0194
lee_Latn,0.0097,0.0006,0.0097
naq_Latn,0.0194,0.0068,0.0194
ghe_Deva,0.0388,0.0076,0.0388
ata_Latn,0.0,0.0,0.0
ziw_Latn,0.068,0.0147,0.068
dar_Cyrl,0.0097,0.0041,0.0097
nxd_Latn,0.0097,0.0024,0.0097
wro_Latn,0.0194,0.0041,0.0194
kiw_Latn,0.0194,0.0047,0.0194
