code,mistralai/Mistral-7B-v0.3_max,mistralai/Mistral-7B-v0.3_mean,avg
acq_Arab,0.8,0.3597,0.8
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.92,0.4788,0.92
swe_Latn,1.0,0.6994,1.0
fra_Latn,1.0,0.7982,1.0
lin_Latn,0.19,0.0997,0.19
vie_Latn,0.94,0.5173,0.94
mar_Deva,0.14,0.0545,0.14
sat_Olck,0.01,0.0012,0.01
kam_Latn,0.18,0.1003,0.18
por_Latn,1.0,0.78,1.0
som_Latn,0.21,0.0667,0.21
lim_Latn,0.7,0.3791,0.7
spa_Latn,1.0,0.7727,1.0
nus_Latn,0.05,0.0282,0.05
ckb_Arab,0.06,0.0203,0.06
vec_Latn,0.9,0.4939,0.9
dan_Latn,0.98,0.6952,0.98
mri_Latn,0.22,0.1103,0.22
ars_Arab,0.82,0.3915,0.82
nno_Latn,0.93,0.5955,0.93
aka_Latn,0.14,0.0788,0.14
sun_Latn,0.41,0.2485,0.41
ssw_Latn,0.17,0.077,0.17
prs_Arab,0.55,0.2406,0.55
zho_Hans,0.97,0.6882,0.97
jav_Latn,0.34,0.1985,0.34
kat_Geor,0.22,0.0679,0.22
taq_Latn,0.17,0.0736,0.17
yue_Hant,0.95,0.6255,0.95
hat_Latn,0.43,0.2055,0.43
tam_Taml,0.09,0.0367,0.09
tha_Thai,0.38,0.1688,0.38
scn_Latn,0.68,0.3009,0.68
sag_Latn,0.11,0.0606,0.11
lij_Latn,0.63,0.3561,0.63
bod_Tibt,0.02,0.0036,0.02
hau_Latn,0.2,0.0782,0.2
ell_Grek,0.69,0.2921,0.69
oci_Latn,0.97,0.6158,0.97
ayr_Latn,0.12,0.0673,0.12
urd_Arab,0.37,0.1509,0.37
azb_Arab,0.13,0.0312,0.13
fao_Latn,0.63,0.2288,0.63
npi_Deva,0.24,0.103,0.24
nso_Latn,0.23,0.0736,0.23
kaz_Cyrl,0.32,0.1158,0.32
shn_Mymr,0.04,0.0127,0.04
lus_Latn,0.29,0.1442,0.29
