code,meta-llama/Llama-3.1-8B_max,meta-llama/Llama-3.1-8B_mean,avg
mib_Latn,0.0291,0.0079,0.0291
bxr_Cyrl,0.0485,0.0106,0.0485
mzk_Latn,0.0388,0.0138,0.0388
tsw_Latn,0.0291,0.0059,0.0291
chu_Cyrl,0.8932,0.5499,0.8932
nmo_Latn,0.0194,0.0044,0.0194
clu_Latn,0.1262,0.0468,0.1262
sll_Latn,0.0194,0.0035,0.0194
lob_Latn,0.0194,0.0021,0.0194
hwc_Latn,0.5534,0.2407,0.5534
amo_Latn,0.0291,0.0129,0.0291
muy_Latn,0.0291,0.0024,0.0291
xtm_Latn,0.0291,0.0115,0.0291
mvn_Latn,0.0388,0.0138,0.0388
aca_Latn,0.0388,0.0112,0.0388
wos_Latn,0.0291,0.0044,0.0291
fuq_Latn,0.0388,0.0085,0.0388
kqe_Latn,0.068,0.0224,0.068
pls_Latn,0.0291,0.0106,0.0291
nca_Latn,0.0194,0.0047,0.0194
bki_Latn,0.0291,0.0029,0.0291
qvh_Latn,0.0388,0.0112,0.0388
nph_Latn,0.0291,0.0082,0.0291
ozm_Latn,0.0194,0.0041,0.0194
jbu_Latn,0.0388,0.0079,0.0388
fij_Latn,0.0485,0.0094,0.0485
udu_Latn,0.0291,0.0047,0.0291
tnp_Latn,0.0097,0.0024,0.0097
ewe_Latn,0.0291,0.0062,0.0291
guh_Latn,0.0291,0.0071,0.0291
mau_Latn,0.0291,0.0088,0.0291
mbb_Latn,0.0291,0.0047,0.0291
est_Latn,0.5049,0.2415,0.5049
mpt_Latn,0.0097,0.0015,0.0097
chv_Cyrl,0.1359,0.0412,0.1359
hag_Latn,0.0291,0.0071,0.0291
cjo_Latn,0.0097,0.0006,0.0097
aze_Cyrl,0.068,0.0185,0.068
kyq_Latn,0.0194,0.0038,0.0194
dov_Latn,0.0388,0.0153,0.0388
