code,intfloat/multilingual-e5-base_max,intfloat/multilingual-e5-base_mean,avg
cwt_Latn,0.0291,0.0097,0.0291
las_Latn,0.0777,0.0112,0.0777
nki_Latn,0.1359,0.0246,0.1359
tos_Latn,0.0485,0.0052,0.0485
mca_Latn,0.1262,0.0105,0.1262
lid_Latn,0.0583,0.0134,0.0583
bex_Latn,0.0485,0.0119,0.0485
nng_Latn,0.0388,0.0075,0.0388
pbb_Latn,0.0777,0.0082,0.0777
bfo_Latn,0.0485,0.0134,0.0485
dis_Latn,0.0388,0.0105,0.0388
aau_Latn,0.0485,0.0097,0.0485
irk_Latn,0.0583,0.0119,0.0583
crh_Cyrl,0.6117,0.1262,0.6117
mkd_Cyrl,0.9806,0.4802,0.9806
teo_Latn,0.0777,0.0209,0.0777
kpf_Latn,0.0194,0.0134,0.0194
enl_Latn,0.0388,0.0052,0.0388
lww_Latn,0.0097,0.0022,0.0097
cap_Latn,0.068,0.0067,0.068
bku_Latn,0.0485,0.0067,0.0485
wiv_Latn,0.0971,0.0239,0.0971
hla_Latn,0.0583,0.0119,0.0583
yut_Latn,0.0583,0.0067,0.0583
kbp_Latn,0.4854,0.0672,0.4854
ium_Latn,0.0,0.0,0.0
quc_Latn,0.0388,0.0119,0.0388
kdi_Latn,0.2233,0.0396,0.2233
vut_Latn,0.0388,0.0037,0.0388
gla_Latn,0.9806,0.2786,0.9806
apt_Latn,0.068,0.0172,0.068
gvc_Latn,0.0194,0.003,0.0194
sml_Latn,0.0777,0.0127,0.0777
aia_Latn,0.0485,0.0097,0.0485
gej_Latn,0.2913,0.0448,0.2913
syc_Syrc,0.0,0.0,0.0
nia_Latn,0.0583,0.0142,0.0583
dje_Latn,0.0777,0.0149,0.0777
usp_Latn,0.0971,0.0179,0.0971
pbc_Latn,0.068,0.0134,0.068
tik_Latn,0.0194,0.0015,0.0194
bug_Latn,0.6796,0.1225,0.6796
esi_Latn,0.0777,0.0164,0.0777
akh_Latn,0.0097,0.0007,0.0097
arz_Arab,0.3883,0.0545,0.3883
kje_Latn,0.0485,0.0149,0.0485
mug_Latn,0.1068,0.0164,0.1068
syb_Latn,0.0777,0.0149,0.0777
mvp_Latn,0.1942,0.0381,0.1942
ksp_Latn,0.0291,0.0067,0.0291
bjk_Latn,0.0583,0.0134,0.0583
nbc_Latn,0.0388,0.0112,0.0388
atd_Latn,0.0388,0.0075,0.0388
ojs_Cans,0.0097,0.0037,0.0097
kpg_Latn,0.1553,0.0217,0.1553
agm_Latn,0.0097,0.0007,0.0097
mhr_Cyrl,0.0777,0.0119,0.0777
sey_Latn,0.0777,0.0142,0.0777
