code,mistralai/Mistral-7B-v0.3_max,mistralai/Mistral-7B-v0.3_mean,avg
cle_Latn,0.0291,0.0053,0.0291
rup_Latn,0.0485,0.0191,0.0485
mpg_Latn,0.0097,0.0009,0.0097
djk_Latn,0.0194,0.0026,0.0194
nnh_Latn,0.0194,0.0065,0.0194
che_Cyrl,0.0097,0.0009,0.0097
hat_Latn,0.1262,0.0306,0.1262
cor_Latn,0.0291,0.0094,0.0291
ots_Latn,0.0097,0.0065,0.0097
mcn_Latn,0.0291,0.0082,0.0291
tam_Taml,0.0583,0.0109,0.0583
lsi_Latn,0.0097,0.0018,0.0097
tha_Thai,0.301,0.0685,0.301
tsg_Latn,0.0291,0.0094,0.0291
tpp_Latn,0.0291,0.0071,0.0291
ngc_Latn,0.0291,0.0068,0.0291
zyb_Latn,0.0097,0.0012,0.0097
dug_Latn,0.0388,0.0138,0.0388
not_Latn,0.0194,0.0029,0.0194
urb_Latn,0.0097,0.0003,0.0097
nlc_Latn,0.0097,0.0026,0.0097
gux_Latn,0.0194,0.0065,0.0194
aim_Latn,0.0194,0.0041,0.0194
snw_Latn,0.0194,0.0062,0.0194
ajz_Latn,0.0194,0.0082,0.0194
nys_Latn,0.0291,0.0085,0.0291
nim_Latn,0.0097,0.0082,0.0097
bbr_Latn,0.0194,0.0038,0.0194
njz_Latn,0.0194,0.0068,0.0194
npi_Deva,0.1845,0.0294,0.1845
twu_Latn,0.0194,0.0112,0.0194
cbk_Latn,0.2718,0.1036,0.2718
dgr_Latn,0.0097,0.0026,0.0097
nso_Latn,0.0291,0.0115,0.0291
ivv_Latn,0.0291,0.0147,0.0291
kde_Latn,0.0194,0.0076,0.0194
tar_Latn,0.0097,0.0015,0.0097
rmy_Latn,0.0388,0.0174,0.0388
lbk_Latn,0.0388,0.0168,0.0388
aso_Latn,0.0097,0.0012,0.0097
mxp_Latn,0.0291,0.0053,0.0291
kud_Latn,0.0097,0.0085,0.0097
arp_Latn,0.0291,0.0065,0.0291
ian_Latn,0.0,0.0,0.0
kez_Latn,0.0194,0.0026,0.0194
tcz_Latn,0.0291,0.0129,0.0291
shn_Mymr,0.0,0.0,0.0
kaz_Cyrl,0.0583,0.0109,0.0583
miq_Latn,0.0291,0.0132,0.0291
lem_Latn,0.0194,0.0018,0.0194
hmr_Latn,0.0097,0.0012,0.0097
lus_Latn,0.0194,0.005,0.0194
kpj_Latn,0.0097,0.0012,0.0097
nhr_Latn,0.0097,0.0038,0.0097
gaw_Latn,0.0194,0.0056,0.0194
loq_Latn,0.0291,0.0056,0.0291
bss_Latn,0.0097,0.0038,0.0097
met_Latn,0.0194,0.0088,0.0194
tlh_Latn,0.1456,0.0324,0.1456
tif_Latn,0.0,0.0,0.0
ake_Latn,0.0097,0.0068,0.0097
tzo_Latn,0.0194,0.0062,0.0194
mwc_Latn,0.0291,0.0082,0.0291
zaj_Latn,0.0291,0.0115,0.0291
hvn_Latn,0.0291,0.0118,0.0291
tna_Latn,0.0291,0.0124,0.0291
kha_Latn,0.0194,0.0047,0.0194
btt_Latn,0.0097,0.0053,0.0097
kmo_Latn,0.0097,0.0003,0.0097
mbs_Latn,0.0291,0.0109,0.0291
