code,Qwen/Qwen3-Embedding-0.6B_max,Qwen/Qwen3-Embedding-0.6B_mean,avg
urk_Thai,0.0,0.0,0.0
mic_Latn,0.0194,0.0017,0.0194
agr_Latn,0.0485,0.0151,0.0485
bzj_Latn,0.1359,0.0415,0.1359
xnn_Latn,0.068,0.0187,0.068
ade_Latn,0.0388,0.007,0.0388
nak_Latn,0.0291,0.0067,0.0291
kpx_Latn,0.0291,0.004,0.0291
tuo_Latn,0.0194,0.006,0.0194
mux_Latn,0.0291,0.0057,0.0291
any_Latn,0.0194,0.0057,0.0194
amn_Latn,0.0194,0.0097,0.0194
mfq_Latn,0.0097,0.0007,0.0097
bef_Latn,0.0194,0.0017,0.0194
msa_Latn,0.1165,0.0382,0.1165
hae_Latn,0.0194,0.0023,0.0194
thk_Latn,0.0194,0.0047,0.0194
eri_Latn,0.0388,0.0127,0.0388
maw_Latn,0.0194,0.0023,0.0194
knk_Latn,0.0194,0.0044,0.0194
nya_Latn,0.0485,0.0144,0.0485
lmk_Latn,0.0291,0.0097,0.0291
alq_Latn,0.0388,0.0161,0.0388
mtg_Latn,0.0388,0.011,0.0388
mwp_Latn,0.0291,0.0057,0.0291
sxb_Latn,0.0291,0.0084,0.0291
sqi_Latn,0.0874,0.0341,0.0874
pww_Thai,0.0,0.0,0.0
yuj_Latn,0.0291,0.006,0.0291
bmr_Latn,0.0388,0.0144,0.0388
mxb_Latn,0.068,0.0134,0.068
swp_Latn,0.0388,0.0181,0.0388
yss_Latn,0.0291,0.0104,0.0291
bib_Latn,0.0194,0.0094,0.0194
csy_Latn,0.0971,0.0251,0.0971
yad_Latn,0.0291,0.007,0.0291
mib_Latn,0.068,0.0174,0.068
bxr_Cyrl,0.0583,0.0097,0.0583
mzk_Latn,0.068,0.0164,0.068
tsw_Latn,0.0194,0.003,0.0194
chu_Cyrl,0.5146,0.2571,0.5146
nmo_Latn,0.0388,0.0147,0.0388
clu_Latn,0.0874,0.0281,0.0874
sll_Latn,0.0291,0.0047,0.0291
lob_Latn,0.0194,0.0033,0.0194
hwc_Latn,0.7961,0.4309,0.7961
amo_Latn,0.0194,0.0104,0.0194
muy_Latn,0.0291,0.0044,0.0291
xtm_Latn,0.0485,0.0161,0.0485
mvn_Latn,0.0291,0.0127,0.0291
chd_Latn,0.0583,0.0184,0.0583
bba_Latn,0.0194,0.007,0.0194
bav_Latn,0.0291,0.01,0.0291
