code,FacebookAI/xlm-roberta-base_max,FacebookAI/xlm-roberta-base_mean,avg
xuo_Latn,0.0,0.0,0.0
gso_Latn,0.0097,0.0022,0.0097
heh_Latn,0.0194,0.0075,0.0194
mwl_Latn,0.1748,0.1053,0.1748
zae_Latn,0.0097,0.0022,0.0097
mya_Mymr,0.0291,0.006,0.0291
rar_Latn,0.0,0.0,0.0
tnn_Latn,0.0,0.0,0.0
aoz_Latn,0.0388,0.0172,0.0388
huv_Latn,0.0097,0.0052,0.0097
mgr_Latn,0.0097,0.0045,0.0097
mmn_Latn,0.0097,0.0022,0.0097
kbr_Latn,0.0097,0.0037,0.0097
nsa_Latn,0.0097,0.006,0.0097
car_Latn,0.0097,0.003,0.0097
hot_Latn,0.0,0.0,0.0
yva_Latn,0.0,0.0,0.0
tqb_Latn,0.0,0.0,0.0
ktu_Latn,0.0194,0.0075,0.0194
got_Latn,0.0194,0.006,0.0194
tbk_Latn,0.0,0.0,0.0
iri_Latn,0.0194,0.0119,0.0194
eza_Latn,0.0,0.0,0.0
kuj_Latn,0.0097,0.0015,0.0097
pne_Latn,0.0097,0.0075,0.0097
naw_Latn,0.0,0.0,0.0
kss_Latn,0.0,0.0,0.0
whk_Latn,0.0097,0.0082,0.0097
atg_Latn,0.0,0.0,0.0
agn_Latn,0.0194,0.0045,0.0194
awa_Deva,0.0291,0.0082,0.0291
tem_Latn,0.0097,0.0007,0.0097
ary_Arab,0.0,0.0,0.0
eus_Latn,0.0388,0.0127,0.0388
tlf_Latn,0.0,0.0,0.0
hay_Latn,0.0291,0.0149,0.0291
guj_Gujr,0.233,0.0941,0.233
bud_Latn,0.0,0.0,0.0
tih_Latn,0.0194,0.0082,0.0194
dyo_Latn,0.0097,0.0045,0.0097
ife_Latn,0.0,0.0,0.0
poy_Latn,0.0194,0.0045,0.0194
caq_Latn,0.0097,0.0015,0.0097
enm_Latn,0.3981,0.3077,0.3981
crx_Latn,0.0097,0.0015,0.0097
xon_Latn,0.0097,0.0045,0.0097
qub_Latn,0.0097,0.0037,0.0097
kbq_Latn,0.0097,0.0015,0.0097
afr_Latn,0.8447,0.4772,0.8447
cta_Latn,0.0,0.0,0.0
kpv_Cyrl,0.0194,0.003,0.0194
hin_Latn,0.0485,0.0232,0.0485
apu_Latn,0.0097,0.0022,0.0097
nfr_Latn,0.0291,0.009,0.0291
dhm_Latn,0.0097,0.0037,0.0097
wer_Latn,0.0097,0.0007,0.0097
aeb_Arab,0.0,0.0,0.0
xsu_Latn,0.0,0.0,0.0
mah_Latn,0.0194,0.0075,0.0194
fon_Latn,0.0097,0.0022,0.0097
btx_Latn,0.0388,0.0232,0.0388
huu_Latn,0.0097,0.0007,0.0097
aln_Latn,0.7379,0.3406,0.7379
cop_Copt,0.0097,0.0007,0.0097
chz_Latn,0.0,0.0,0.0
syb_Latn,0.0194,0.0112,0.0194
mvp_Latn,0.0194,0.0105,0.0194
mug_Latn,0.0291,0.0052,0.0291
