,gemma2-9B,gemma-7B,llama3.1-70B,llama3.1-8B,llama3-8B,llama2-7B,llama1-7B,mistral-7B,olmo-7B,avg
cym_Latn,0.2316,0.0436,0.2784,0.0856,0.0888,0.0065,0.0063,0.0119,0.0006,0.0837
mlt_Latn,0.2370,0.0658,0.2272,0.0684,0.0659,0.0095,0.0066,0.0122,0.0033,0.0773
kat_Geor,0.2464,0.0943,0.1624,0.0776,0.0786,0.0021,0.0010,0.0047,0.0001,0.0741
tam_Taml,0.2665,0.1053,0.1475,0.0397,0.0443,0.0006,0.0000,0.0064,0.0000,0.0678
guj_Gujr,0.2284,0.0918,0.1653,0.0590,0.0635,0.0002,0.0000,0.0002,0.0000,0.0676
pap_Latn,0.1834,0.0570,0.2031,0.0508,0.0477,0.0211,0.0144,0.0231,0.0054,0.0673
zsm_Latn,0.1567,0.0529,0.1779,0.0719,0.0646,0.0263,0.0054,0.0245,0.0047,0.0650
mal_Mlym,0.2601,0.0920,0.1343,0.0428,0.0498,0.0005,0.0000,0.0000,0.0001,0.0644
gla_Latn,0.1399,0.0173,0.2579,0.0649,0.0639,0.0068,0.0049,0.0133,0.0047,0.0637
kaz_Cyrl,0.1284,0.0770,0.2187,0.0723,0.0683,0.0012,0.0000,0.0064,0.0000,0.0636
gle_Latn,0.1742,0.0214,0.2125,0.0634,0.0592,0.0160,0.0082,0.0103,0.0037,0.0632
tel_Telu,0.2278,0.0863,0.1395,0.0542,0.0598,0.0000,0.0000,0.0010,0.0000,0.0632
urd_Latn,0.1557,0.0531,0.1717,0.0620,0.0524,0.0133,0.0019,0.0297,0.0009,0.0601
tpi_Latn,0.2015,0.0430,0.1884,0.0348,0.0331,0.0038,0.0021,0.0147,0.0034,0.0583
asm_Beng,0.1792,0.0595,0.1771,0.0457,0.0498,0.0006,0.0000,0.0043,0.0003,0.0574
war_Latn,0.1286,0.0489,0.2045,0.0522,0.0477,0.0103,0.0038,0.0128,0.0042,0.0570
tgk_Cyrl,0.1349,0.0369,0.2222,0.0592,0.0515,0.0002,0.0000,0.0026,0.0043,0.0569
hin_Latn,0.1210,0.0647,0.1768,0.0561,0.0472,0.0148,0.0025,0.0210,0.0001,0.0560
bak_Cyrl,0.1064,0.0489,0.1923,0.0682,0.0658,0.0000,0.0000,0.0038,0.0009,0.0540
hau_Latn,0.1766,0.0605,0.1645,0.0343,0.0311,0.0035,0.0018,0.0060,0.0004,0.0532
hat_Latn,0.1292,0.0381,0.1985,0.0441,0.0345,0.0068,0.0032,0.0179,0.0042,0.0530
kir_Cyrl,0.0925,0.0535,0.2152,0.0566,0.0513,0.0002,0.0000,0.0033,0.0000,0.0525
mri_Latn,0.0887,0.0155,0.2464,0.0520,0.0424,0.0060,0.0028,0.0136,0.0001,0.0520
pan_Guru,0.2163,0.0519,0.1414,0.0252,0.0206,0.0015,0.0000,0.0000,0.0000,0.0508
san_Deva,0.1377,0.0307,0.1471,0.0508,0.0520,0.0017,0.0007,0.0221,0.0022,0.0494
kan_Knda,0.1726,0.0603,0.1257,0.0384,0.0407,0.0002,0.0000,0.0043,0.0000,0.0491
mai_Deva,0.1086,0.0434,0.1754,0.0505,0.0481,0.0018,0.0001,0.0074,0.0000,0.0484
snd_Arab,0.0853,0.0342,0.1872,0.0530,0.0434,0.0002,0.0001,0.0017,0.0000,0.0450
aeb_Arab,0.1256,0.0238,0.1345,0.0411,0.0445,0.0107,0.0079,0.0150,0.0000,0.0448
ibo_Latn,0.1126,0.0250,0.1723,0.0416,0.0362,0.0015,0.0015,0.0022,0.0006,0.0437
tuk_Latn,0.0833,0.0381,0.1797,0.0375,0.0325,0.0054,0.0021,0.0060,0.0039,0.0432
tat_Cyrl,0.0496,0.0310,0.1812,0.0556,0.0529,0.0020,0.0001,0.0022,0.0000,0.0416
zul_Latn,0.1714,0.0293,0.1127,0.0184,0.0161,0.0060,0.0032,0.0069,0.0043,0.0409
awa_Deva,0.0783,0.0320,0.1541,0.0491,0.0448,0.0018,0.0000,0.0079,0.0000,0.0409
kmr_Latn,0.0656,0.0118,0.1909,0.0401,0.0378,0.0030,0.0016,0.0060,0.0000,0.0396
ilo_Latn,0.0949,0.0275,0.1209,0.0380,0.0393,0.0086,0.0074,0.0093,0.0044,0.0389
hne_Deva,0.0692,0.0216,0.1797,0.0349,0.0295,0.0011,0.0006,0.0057,0.0001,0.0381
plt_Latn,0.1136,0.0155,0.1585,0.0160,0.0143,0.0039,0.0028,0.0069,0.0034,0.0372
sna_Latn,0.1401,0.0322,0.0986,0.0174,0.0175,0.0047,0.0024,0.0076,0.0043,0.0361
jav_Latn,0.0722,0.0220,0.1364,0.0365,0.0287,0.0072,0.0026,0.0078,0.0049,0.0354
min_Latn,0.0544,0.0356,0.1314,0.0346,0.0321,0.0100,0.0044,0.0076,0.0044,0.0349
sun_Latn,0.0654,0.0297,0.1069,0.0348,0.0325,0.0110,0.0078,0.0072,0.0056,0.0334
sot_Latn,0.0815,0.0218,0.1428,0.0140,0.0105,0.0059,0.0054,0.0064,0.0044,0.0325
sin_Sinh,0.1232,0.0271,0.0931,0.0220,0.0251,0.0000,0.0000,0.0009,0.0001,0.0324
xho_Latn,0.1090,0.0318,0.0960,0.0186,0.0129,0.0042,0.0026,0.0079,0.0044,0.0319
ary_Arab,0.0765,0.0151,0.1199,0.0263,0.0266,0.0062,0.0038,0.0088,0.0000,0.0315
uig_Arab,0.0321,0.0085,0.1626,0.0407,0.0364,0.0000,0.0001,0.0010,0.0006,0.0313
nya_Latn,0.1146,0.0210,0.0995,0.0133,0.0136,0.0053,0.0026,0.0069,0.0044,0.0312
lus_Latn,0.1457,0.0055,0.1034,0.0095,0.0089,0.0006,0.0001,0.0029,0.0034,0.0311
amh_Ethi,0.1864,0.0291,0.0600,0.0020,0.0017,0.0000,0.0000,0.0005,0.0000,0.0311
smo_Latn,0.0648,0.0100,0.1475,0.0116,0.0146,0.0039,0.0035,0.0060,0.0036,0.0295
nso_Latn,0.0540,0.0157,0.1381,0.0181,0.0120,0.0060,0.0056,0.0067,0.0043,0.0289
tsn_Latn,0.0516,0.0204,0.1284,0.0182,0.0137,0.0068,0.0047,0.0055,0.0042,0.0282
yor_Latn,0.0664,0.0063,0.1114,0.0181,0.0148,0.0017,0.0019,0.0057,0.0030,0.0255
ory_Orya,0.0757,0.0041,0.1114,0.0136,0.0136,0.0000,0.0000,0.0000,0.0001,0.0243
ssw_Latn,0.0897,0.0197,0.0737,0.0114,0.0106,0.0038,0.0032,0.0053,0.0003,0.0242
run_Latn,0.0654,0.0151,0.0759,0.0141,0.0130,0.0059,0.0060,0.0079,0.0042,0.0231
eus_Latn,0.0355,0.0187,0.0937,0.0176,0.0192,0.0071,0.0081,0.0069,0.0006,0.0230
tum_Latn,0.0494,0.0110,0.0922,0.0148,0.0137,0.0054,0.0034,0.0076,0.0039,0.0224
ckb_Arab,0.0283,0.0110,0.1162,0.0184,0.0204,0.0005,0.0000,0.0033,0.0007,0.0221
