code,sentence-transformers/LaBSE_max,sentence-transformers/LaBSE_mean,avg
faa_Latn,0.0194,0.003,0.0194
deu_Latn,0.9126,0.5347,0.9126
ksr_Latn,0.0485,0.006,0.0485
nav_Latn,0.0777,0.0097,0.0777
hnj_Latn,0.7767,0.3204,0.7767
tur_Latn,0.8641,0.5198,0.8641
mzw_Latn,0.068,0.0224,0.068
sue_Latn,0.0874,0.0112,0.0874
ceb_Latn,0.8932,0.5176,0.8932
kdj_Latn,0.1262,0.0321,0.1262
cwt_Latn,0.0583,0.0202,0.0583
las_Latn,0.0583,0.0172,0.0583
nuy_Latn,0.068,0.0067,0.068
hil_Latn,0.9515,0.5541,0.9515
apw_Latn,0.0971,0.0112,0.0971
pib_Latn,0.0291,0.006,0.0291
eka_Latn,0.0971,0.0239,0.0971
wol_Latn,0.2524,0.0784,0.2524
dad_Latn,0.1359,0.0284,0.1359
bkv_Latn,0.0194,0.0052,0.0194
cas_Latn,0.0777,0.0075,0.0777
gyr_Latn,0.0777,0.0157,0.0777
yuw_Latn,0.0194,0.003,0.0194
mmo_Latn,0.0485,0.0075,0.0485
gil_Latn,0.1165,0.0239,0.1165
ium_Laoo,0.0194,0.0037,0.0194
zad_Latn,0.0485,0.0067,0.0485
mwm_Latn,0.0777,0.0112,0.0777
cko_Latn,0.1068,0.0209,0.1068
bdd_Latn,0.0291,0.009,0.0291
bgs_Latn,0.2136,0.0373,0.2136
lbj_Tibt,0.2524,0.0224,0.2524
guw_Latn,0.6019,0.236,0.6019
kma_Latn,0.0777,0.0105,0.0777
smo_Latn,0.9806,0.5235,0.9806
knv_Latn,0.0097,0.0007,0.0097
maj_Latn,0.1359,0.0164,0.1359
ary_Arab,0.2621,0.0463,0.2621
eus_Latn,0.8641,0.3353,0.8641
tlf_Latn,0.0291,0.0037,0.0291
hay_Latn,0.4466,0.1987,0.4466
guj_Gujr,0.8252,0.5078,0.8252
bud_Latn,0.0874,0.0179,0.0874
tih_Latn,0.0971,0.0269,0.0971
dyo_Latn,0.0777,0.0224,0.0777
iri_Latn,0.1068,0.0299,0.1068
eza_Latn,0.1456,0.0284,0.1456
