code,jhu-clsp/mmBERT-base_max,jhu-clsp/mmBERT-base_mean,avg
gkp_Latn,0.0097,0.0004,0.0097
mos_Latn,0.0194,0.0076,0.0194
rmc_Latn,0.0388,0.0131,0.0388
apb_Latn,0.0097,0.0013,0.0097
pon_Latn,0.0097,0.0025,0.0097
caf_Latn,0.0097,0.0008,0.0097
kqo_Latn,0.0,0.0,0.0
san_Deva,0.0194,0.0013,0.0194
kaq_Latn,0.0097,0.0038,0.0097
gjn_Latn,0.0097,0.0034,0.0097
nsu_Latn,0.0194,0.0051,0.0194
aer_Latn,0.0,0.0,0.0
aon_Latn,0.0,0.0,0.0
ewo_Latn,0.0291,0.0127,0.0291
hub_Latn,0.0194,0.0025,0.0194
aly_Latn,0.0097,0.003,0.0097
khz_Latn,0.0194,0.0063,0.0194
mto_Latn,0.0,0.0,0.0
pfe_Latn,0.0097,0.003,0.0097
jra_Latn,0.0194,0.0051,0.0194
rro_Latn,0.0194,0.0063,0.0194
xsb_Latn,0.0485,0.0127,0.0485
cnt_Latn,0.0,0.0,0.0
gub_Latn,0.0,0.0,0.0
pck_Latn,0.0485,0.0046,0.0485
mbh_Latn,0.0291,0.0038,0.0291
gfk_Latn,0.0194,0.0038,0.0194
lhm_Latn,0.0,0.0,0.0
amh_Ethi,0.0194,0.0017,0.0194
qxo_Latn,0.0194,0.0042,0.0194
djr_Latn,0.0,0.0,0.0
cok_Latn,0.0,0.0,0.0
nnq_Latn,0.0194,0.008,0.0194
nmf_Latn,0.0097,0.003,0.0097
szb_Latn,0.0097,0.0017,0.0097
bcw_Latn,0.0097,0.0004,0.0097
men_Latn,0.0194,0.0038,0.0194
gam_Latn,0.0097,0.0025,0.0097
amf_Latn,0.0097,0.0008,0.0097
tir_Ethi,0.0,0.0,0.0
mfy_Latn,0.0194,0.0063,0.0194
mle_Latn,0.0,0.0,0.0
iws_Latn,0.0,0.0,0.0
mor_Latn,0.0,0.0,0.0
lew_Latn,0.0291,0.0072,0.0291
pmf_Latn,0.0194,0.0017,0.0194
tpi_Latn,0.068,0.0093,0.068
yam_Latn,0.0,0.0,0.0
cui_Latn,0.0097,0.0021,0.0097
abt_Latn,0.0194,0.0021,0.0194
qxh_Latn,0.0097,0.0025,0.0097
otm_Latn,0.0,0.0,0.0
mcp_Latn,0.0,0.0,0.0
nma_Latn,0.0194,0.0046,0.0194
run_Latn,0.0388,0.0139,0.0388
pad_Latn,0.0097,0.0008,0.0097
nho_Latn,0.0388,0.0076,0.0388
efi_Latn,0.0194,0.0089,0.0194
sil_Latn,0.0097,0.0004,0.0097
bsn_Latn,0.0097,0.0008,0.0097
lol_Latn,0.0194,0.0093,0.0194
tob_Latn,0.0097,0.0004,0.0097
anv_Latn,0.0097,0.0008,0.0097
byr_Latn,0.0,0.0,0.0
adj_Latn,0.0097,0.0017,0.0097
pan_Guru,0.0777,0.008,0.0777
spy_Latn,0.0,0.0,0.0
att_Latn,0.0194,0.0063,0.0194
hmo_Latn,0.0097,0.0034,0.0097
pma_Latn,0.0097,0.0013,0.0097
kvn_Latn,0.0097,0.0059,0.0097
ndj_Latn,0.0194,0.0076,0.0194
mil_Latn,0.0,0.0,0.0
gog_Latn,0.0194,0.0059,0.0194
bnj_Latn,0.0097,0.0008,0.0097
ape_Latn,0.0097,0.0013,0.0097
ifu_Latn,0.0291,0.0097,0.0291
cbv_Latn,0.0,0.0,0.0
ncl_Latn,0.0097,0.0013,0.0097
caa_Latn,0.0097,0.0021,0.0097
poi_Latn,0.0194,0.0055,0.0194
bkd_Latn,0.0194,0.008,0.0194
srq_Latn,0.0097,0.0025,0.0097
qve_Latn,0.0,0.0,0.0
aeu_Latn,0.0,0.0,0.0
kkj_Latn,0.0,0.0,0.0
aoi_Latn,0.0,0.0,0.0
nyn_Latn,0.0291,0.0072,0.0291
zav_Latn,0.0,0.0,0.0
guk_Ethi,0.0097,0.0004,0.0097
mai_Deva,0.0291,0.0063,0.0291
kms_Latn,0.0097,0.0004,0.0097
bth_Latn,0.0388,0.0106,0.0388
zpv_Latn,0.0097,0.0008,0.0097
sim_Latn,0.0097,0.0038,0.0097
ptu_Latn,0.0291,0.0076,0.0291
toc_Latn,0.0097,0.0008,0.0097
lom_Latn,0.0097,0.0004,0.0097
mva_Latn,0.0194,0.0034,0.0194
war_Latn,0.0777,0.0194,0.0777
mpx_Latn,0.0097,0.0013,0.0097
upv_Latn,0.0097,0.0008,0.0097
nnw_Latn,0.0194,0.0021,0.0194
hak_Latn,0.0,0.0,0.0
usa_Latn,0.0097,0.0021,0.0097
sot_Latn,0.0583,0.0152,0.0583
gde_Latn,0.0097,0.0042,0.0097
epo_Latn,0.5437,0.176,0.5437
lit_Latn,0.4369,0.1385,0.4369
mcq_Latn,0.0097,0.0008,0.0097
ntu_Latn,0.0,0.0,0.0
sah_Cyrl,0.0097,0.0021,0.0097
seh_Latn,0.0194,0.0021,0.0194
nwb_Latn,0.0,0.0,0.0
arl_Latn,0.0097,0.0068,0.0097
wmw_Latn,0.0388,0.0101,0.0388
zlm_Latn,0.6893,0.203,0.6893
luo_Latn,0.0194,0.0101,0.0194
ojb_Cans,0.0,0.0,0.0
bim_Latn,0.0194,0.0076,0.0194
awb_Latn,0.0097,0.0013,0.0097
far_Latn,0.0388,0.0076,0.0388
bzd_Latn,0.0097,0.0059,0.0097
tel_Telu,0.0291,0.0055,0.0291
cpa_Latn,0.0,0.0,0.0
mnk_Latn,0.0097,0.0034,0.0097
srp_Latn,0.6408,0.2068,0.6408
twi_Latn,0.0291,0.008,0.0291
gya_Latn,0.0097,0.0017,0.0097
poh_Latn,0.0097,0.0013,0.0097
tby_Latn,0.0194,0.0051,0.0194
ctp_Latn,0.0,0.0,0.0
pes_Arab,0.4854,0.1802,0.4854
isd_Latn,0.0291,0.0068,0.0291
gof_Latn,0.0194,0.0025,0.0194
hin_Deva,0.4175,0.111,0.4175
kir_Cyrl,0.068,0.0106,0.068
kne_Latn,0.0388,0.0093,0.0388
mdy_Ethi,0.0097,0.0004,0.0097
kmr_Latn,0.0971,0.0312,0.0971
gud_Latn,0.0,0.0,0.0
pcm_Latn,0.1262,0.0536,0.1262
cme_Latn,0.0097,0.0004,0.0097
gvs_Latn,0.0097,0.003,0.0097
ayo_Latn,0.0097,0.0004,0.0097
zaw_Latn,0.0291,0.0068,0.0291
niq_Latn,0.0583,0.0101,0.0583
chk_Latn,0.0291,0.0076,0.0291
mti_Latn,0.0291,0.008,0.0291
nyo_Latn,0.0291,0.0127,0.0291
wnc_Latn,0.0,0.0,0.0
ron_Latn,0.7087,0.1667,0.7087
min_Latn,0.0388,0.0122,0.0388
cul_Latn,0.0,0.0,0.0
cpb_Latn,0.0291,0.0068,0.0291
ita_Latn,0.8544,0.4247,0.8544
adh_Latn,0.0291,0.0076,0.0291
naf_Latn,0.0,0.0,0.0
ksb_Latn,0.068,0.0093,0.068
nbq_Latn,0.0194,0.0046,0.0194
uig_Arab,0.0097,0.0017,0.0097
uvl_Latn,0.0194,0.0114,0.0194
gah_Latn,0.0097,0.0004,0.0097
zpu_Latn,0.0194,0.0038,0.0194
mcr_Latn,0.0,0.0,0.0
tiy_Latn,0.0291,0.0025,0.0291
hra_Latn,0.0097,0.0051,0.0097
con_Latn,0.0194,0.0042,0.0194
lif_Deva,0.0,0.0,0.0
cly_Latn,0.0194,0.0025,0.0194
bak_Cyrl,0.0291,0.0068,0.0291
gug_Latn,0.0388,0.0068,0.0388
maz_Latn,0.0194,0.0034,0.0194
knf_Latn,0.0097,0.0025,0.0097
jam_Latn,0.0971,0.027,0.0971
mtj_Latn,0.0097,0.0008,0.0097
tyv_Cyrl,0.0194,0.0017,0.0194
zat_Latn,0.0194,0.0038,0.0194
cac_Latn,0.0291,0.0051,0.0291
cbt_Latn,0.0,0.0,0.0
qup_Latn,0.0097,0.0004,0.0097
kbc_Latn,0.0097,0.0008,0.0097
lac_Latn,0.0097,0.0013,0.0097
tbz_Latn,0.0097,0.0013,0.0097
acn_Latn,0.0,0.0,0.0
pir_Latn,0.0,0.0,0.0
ded_Latn,0.0194,0.0034,0.0194
ksc_Latn,0.0291,0.0114,0.0291
fry_Latn,0.2718,0.103,0.2718
tuc_Latn,0.0194,0.0034,0.0194
