code,jhu-clsp/mmBERT-base_max,jhu-clsp/mmBERT-base_mean,avg
hun_Latn,0.3883,0.1237,0.3883
sas_Latn,0.0583,0.0152,0.0583
mna_Latn,0.0194,0.003,0.0194
qvn_Latn,0.0194,0.0051,0.0194
sbd_Latn,0.0,0.0,0.0
quy_Latn,0.0291,0.008,0.0291
plu_Latn,0.0097,0.0008,0.0097
kqc_Latn,0.0194,0.0059,0.0194
apn_Latn,0.0,0.0,0.0
vun_Latn,0.0291,0.0063,0.0291
rmo_Latn,0.0291,0.0089,0.0291
mhx_Latn,0.0,0.0,0.0
isn_Latn,0.0291,0.0097,0.0291
laj_Latn,0.0194,0.0017,0.0194
abx_Latn,0.068,0.0152,0.068
mig_Latn,0.0097,0.0013,0.0097
yaa_Latn,0.0097,0.0013,0.0097
myy_Latn,0.0097,0.0013,0.0097
ibo_Latn,0.0097,0.0025,0.0097
tuk_Latn,0.0388,0.011,0.0388
big_Latn,0.0097,0.0013,0.0097
hns_Latn,0.0194,0.0051,0.0194
dur_Latn,0.0,0.0,0.0
bpr_Latn,0.0194,0.0021,0.0194
sig_Latn,0.0,0.0,0.0
log_Latn,0.0,0.0,0.0
toi_Latn,0.0485,0.0114,0.0485
kor_Hang,0.2913,0.0587,0.2913
gaa_Latn,0.0194,0.0055,0.0194
dop_Latn,0.0097,0.0004,0.0097
nhd_Latn,0.0388,0.0076,0.0388
kan_Knda,0.0388,0.0038,0.0388
mse_Latn,0.0194,0.0055,0.0194
prf_Latn,0.0485,0.0182,0.0485
etu_Latn,0.0097,0.0013,0.0097
pua_Latn,0.0097,0.0013,0.0097
bul_Cyrl,0.7767,0.2782,0.7767
jae_Latn,0.0097,0.0004,0.0097
yom_Latn,0.0291,0.0063,0.0291
njm_Latn,0.0097,0.0008,0.0097
bar_Latn,0.0874,0.0401,0.0874
guo_Latn,0.0194,0.0017,0.0194
hch_Latn,0.0097,0.0017,0.0097
bwu_Latn,0.0194,0.0051,0.0194
wuv_Latn,0.0291,0.0148,0.0291
urd_Deva,0.1748,0.0418,0.1748
ppo_Latn,0.0097,0.0004,0.0097
mhy_Latn,0.0485,0.0182,0.0485
acf_Latn,0.1165,0.0274,0.1165
rmn_Latn,0.0485,0.0194,0.0485
gom_Latn,0.0194,0.0089,0.0194
dru_Latn,0.0194,0.0051,0.0194
mal_Mlym,0.0097,0.0008,0.0097
fuv_Latn,0.0388,0.0068,0.0388
ktb_Ethi,0.0194,0.0013,0.0194
plt_Latn,0.0777,0.0203,0.0777
cak_Latn,0.0097,0.0017,0.0097
qvo_Latn,0.0194,0.0034,0.0194
npo_Latn,0.0,0.0,0.0
byx_Latn,0.0097,0.0008,0.0097
agw_Latn,0.0291,0.0076,0.0291
tat_Cyrl,0.0388,0.0063,0.0388
mlh_Latn,0.0097,0.0008,0.0097
sps_Latn,0.0194,0.0034,0.0194
nan_Latn,0.0097,0.0004,0.0097
awi_Latn,0.0194,0.0021,0.0194
ssd_Latn,0.0194,0.0042,0.0194
ksj_Latn,0.0,0.0,0.0
myx_Latn,0.0097,0.0063,0.0097
nwx_Deva,0.0,0.0,0.0
cfm_Latn,0.0388,0.0072,0.0388
blh_Latn,0.0,0.0,0.0
kus_Latn,0.0291,0.0152,0.0291
mif_Latn,0.0097,0.0008,0.0097
nwi_Latn,0.0194,0.0013,0.0194
gdn_Latn,0.0,0.0,0.0
ixl_Latn,0.0097,0.0017,0.0097
mps_Latn,0.0097,0.0017,0.0097
cof_Latn,0.0194,0.0055,0.0194
ium_Thai,0.0097,0.0004,0.0097
way_Latn,0.0097,0.0004,0.0097
nhe_Latn,0.0097,0.0004,0.0097
amk_Latn,0.0291,0.0055,0.0291
bps_Latn,0.0194,0.0055,0.0194
toh_Latn,0.0097,0.003,0.0097
cya_Latn,0.0194,0.0025,0.0194
bzi_Thai,0.0,0.0,0.0
bao_Latn,0.0097,0.0004,0.0097
zaa_Latn,0.0194,0.0038,0.0194
nyy_Latn,0.0194,0.0051,0.0194
mda_Latn,0.0097,0.0008,0.0097
ztq_Latn,0.0291,0.0042,0.0291
pse_Latn,0.068,0.0194,0.068
ksw_Mymr,0.0,0.0,0.0
ike_Cans,0.0,0.0,0.0
xpe_Latn,0.0097,0.0004,0.0097
gur_Latn,0.0,0.0,0.0
apr_Latn,0.0097,0.0017,0.0097
trq_Latn,0.0097,0.0025,0.0097
neb_Latn,0.0,0.0,0.0
kwf_Latn,0.0194,0.0034,0.0194
swh_Latn,0.3107,0.0827,0.3107
daa_Latn,0.0291,0.0059,0.0291
sda_Latn,0.0291,0.0063,0.0291
mks_Latn,0.0,0.0,0.0
lav_Latn,0.6214,0.133,0.6214
tbo_Latn,0.0194,0.0038,0.0194
nse_Latn,0.0291,0.0084,0.0291
kaa_Latn,0.0291,0.0055,0.0291
oji_Latn,0.0388,0.0173,0.0388
cav_Latn,0.0097,0.0021,0.0097
hop_Latn,0.0097,0.0004,0.0097
ifb_Latn,0.0291,0.0089,0.0291
nas_Latn,0.0097,0.0017,0.0097
fad_Latn,0.0194,0.0034,0.0194
xho_Latn,0.0777,0.0169,0.0777
ceg_Latn,0.0194,0.0059,0.0194
tsn_Latn,0.0291,0.0059,0.0291
msy_Latn,0.0194,0.0042,0.0194
reg_Latn,0.0388,0.0042,0.0388
sin_Sinh,0.0194,0.0025,0.0194
yka_Latn,0.0097,0.0042,0.0097
kjb_Latn,0.0388,0.0042,0.0388
mfi_Latn,0.0,0.0,0.0
tlb_Latn,0.0291,0.0089,0.0291
nhx_Latn,0.0388,0.0097,0.0388
nko_Latn,0.0097,0.0021,0.0097
uri_Latn,0.0,0.0,0.0
mrg_Latn,0.0097,0.003,0.0097
smk_Latn,0.0291,0.0076,0.0291
pps_Latn,0.0097,0.0021,0.0097
tke_Latn,0.0291,0.0055,0.0291
tnk_Latn,0.0097,0.0004,0.0097
hus_Latn,0.0194,0.0021,0.0194
khk_Latn,0.0097,0.0008,0.0097
bqp_Latn,0.0097,0.0021,0.0097
mgw_Latn,0.0194,0.008,0.0194
nif_Latn,0.0097,0.0013,0.0097
ban_Latn,0.0485,0.016,0.0485
kri_Latn,0.0194,0.0034,0.0194
dtp_Latn,0.0097,0.0004,0.0097
qvs_Latn,0.0,0.0,0.0
trp_Latn,0.0194,0.0017,0.0194
zom_Latn,0.0291,0.0042,0.0291
tso_Latn,0.0291,0.0093,0.0291
gnn_Latn,0.0,0.0,0.0
miz_Latn,0.0097,0.0004,0.0097
cux_Latn,0.0097,0.0017,0.0097
mlt_Latn,0.1553,0.0388,0.1553
moc_Latn,0.0097,0.0021,0.0097
heb_Hebr,0.2524,0.0667,0.2524
lef_Latn,0.0194,0.0021,0.0194
hnn_Latn,0.068,0.0165,0.068
ssx_Latn,0.0097,0.0004,0.0097
atb_Latn,0.0097,0.0013,0.0097
nbe_Latn,0.0097,0.0025,0.0097
mua_Latn,0.0291,0.0089,0.0291
nhy_Latn,0.0291,0.0084,0.0291
loz_Latn,0.0388,0.0127,0.0388
mfh_Latn,0.0,0.0,0.0
xbr_Latn,0.0194,0.0025,0.0194
mcf_Latn,0.0,0.0,0.0
tim_Latn,0.0,0.0,0.0
ben_Beng,0.1456,0.0215,0.1456
gdr_Latn,0.0097,0.003,0.0097
vmy_Latn,0.0388,0.0135,0.0388
tdt_Latn,0.0291,0.0089,0.0291
kac_Latn,0.0097,0.0013,0.0097
qug_Latn,0.0097,0.0008,0.0097
dts_Latn,0.0097,0.0004,0.0097
lgm_Latn,0.0388,0.0093,0.0388
cbc_Latn,0.0,0.0,0.0
dgz_Latn,0.0097,0.0004,0.0097
myv_Cyrl,0.0097,0.0017,0.0097
krj_Latn,0.068,0.0228,0.068
bkq_Latn,0.0194,0.0068,0.0194
cat_Latn,0.6699,0.236,0.6699
ven_Latn,0.0097,0.003,0.0097
asg_Latn,0.0097,0.0013,0.0097
kwd_Latn,0.0,0.0,0.0
bmh_Latn,0.0097,0.0013,0.0097
ctd_Latn,0.0194,0.0051,0.0194
rmq_Latn,0.0971,0.0384,0.0971
gle_Latn,0.1359,0.0405,0.1359
lat_Latn,0.6117,0.2254,0.6117
gor_Latn,0.0291,0.0068,0.0291
mam_Latn,0.0291,0.0097,0.0291
bgt_Latn,0.0291,0.0084,0.0291
gup_Latn,0.0194,0.0017,0.0194
bam_Latn,0.0291,0.0101,0.0291
zac_Latn,0.0291,0.0055,0.0291
yle_Latn,0.0194,0.003,0.0194
yor_Latn,0.0,0.0,0.0
mfk_Latn,0.0097,0.0017,0.0097
kiw_Latn,0.0097,0.0013,0.0097
hto_Latn,0.0097,0.0013,0.0097
nxd_Latn,0.0194,0.0114,0.0194
wro_Latn,0.0194,0.0038,0.0194
dyi_Latn,0.0097,0.0004,0.0097
wwa_Latn,0.0,0.0,0.0
hrv_Latn,0.6796,0.2288,0.6796
cmn_Hani,0.6311,0.2102,0.6311
zul_Latn,0.0388,0.0131,0.0388
miy_Latn,0.0097,0.0008,0.0097
blw_Latn,0.0097,0.0034,0.0097
ata_Latn,0.0097,0.0004,0.0097
ziw_Latn,0.0388,0.0165,0.0388
dar_Cyrl,0.0097,0.003,0.0097
naq_Latn,0.0097,0.0025,0.0097
ghe_Deva,0.0,0.0,0.0
lee_Latn,0.0097,0.0008,0.0097
itv_Latn,0.0291,0.0076,0.0291
kxm_Thai,0.0097,0.0004,0.0097
kck_Latn,0.0388,0.0194,0.0388
cpu_Latn,0.0291,0.0068,0.0291
nep_Deva,0.1068,0.0186,0.1068
tbl_Latn,0.0097,0.0034,0.0097
jni_Latn,0.0194,0.0021,0.0194
agx_Cyrl,0.0097,0.0004,0.0097
kdl_Latn,0.0194,0.0042,0.0194
swk_Latn,0.0485,0.0118,0.0485
taj_Deva,0.0194,0.0008,0.0194
fuh_Latn,0.0097,0.0021,0.0097
bhg_Latn,0.0097,0.0034,0.0097
ifa_Latn,0.0194,0.0072,0.0194
uig_Cyrl,0.0194,0.003,0.0194
kab_Latn,0.0194,0.0063,0.0194
lgl_Latn,0.0194,0.0025,0.0194
quf_Latn,0.0097,0.0021,0.0097
alj_Latn,0.0194,0.011,0.0194
nzm_Latn,0.0,0.0,0.0
lmp_Latn,0.0,0.0,0.0
bre_Latn,0.068,0.0198,0.068
zab_Latn,0.0194,0.0046,0.0194
kxw_Latn,0.0,0.0,0.0
bel_Cyrl,0.3786,0.1161,0.3786
guq_Latn,0.0291,0.0093,0.0291
gvf_Latn,0.0097,0.0008,0.0097
mal_Latn,0.0,0.0,0.0
kmg_Latn,0.0097,0.0008,0.0097
ubu_Latn,0.0097,0.0004,0.0097
izz_Latn,0.0,0.0,0.0
slv_Latn,0.5728,0.1697,0.5728
mcd_Latn,0.0097,0.0025,0.0097
lia_Latn,0.0,0.0,0.0
mpm_Latn,0.0097,0.0038,0.0097
nnb_Latn,0.0097,0.0021,0.0097
pap_Latn,0.165,0.0642,0.165
cjv_Latn,0.0097,0.0038,0.0097
wbp_Latn,0.0,0.0,0.0
amu_Latn,0.0097,0.0004,0.0097
gbi_Latn,0.0097,0.0013,0.0097
zpc_Latn,0.0097,0.0013,0.0097
moa_Latn,0.0,0.0,0.0
ria_Latn,0.0097,0.0004,0.0097
des_Latn,0.0291,0.0021,0.0291
boa_Latn,0.0,0.0,0.0
wnu_Latn,0.0,0.0,0.0
tpz_Latn,0.0,0.0,0.0
suc_Latn,0.0097,0.0021,0.0097
tcs_Latn,0.0388,0.0089,0.0388
kbd_Cyrl,0.0097,0.0004,0.0097
bud_Latn,0.0097,0.0004,0.0097
tih_Latn,0.0291,0.0068,0.0291
dyo_Latn,0.0194,0.0059,0.0194
hay_Latn,0.0388,0.0165,0.0388
guj_Gujr,0.0971,0.0165,0.0971
ary_Arab,0.0194,0.003,0.0194
eus_Latn,0.0194,0.0093,0.0194
tlf_Latn,0.0,0.0,0.0
agn_Latn,0.0485,0.0173,0.0485
awa_Deva,0.0388,0.0106,0.0388
tem_Latn,0.0097,0.0013,0.0097
pne_Latn,0.0194,0.003,0.0194
naw_Latn,0.0097,0.0004,0.0097
kss_Latn,0.0,0.0,0.0
whk_Latn,0.0388,0.0055,0.0388
atg_Latn,0.0194,0.003,0.0194
kuj_Latn,0.0097,0.0013,0.0097
iri_Latn,0.0194,0.0084,0.0194
eza_Latn,0.0,0.0,0.0
got_Latn,0.0388,0.0106,0.0388
tbk_Latn,0.0097,0.0021,0.0097
tqb_Latn,0.0,0.0,0.0
ktu_Latn,0.0291,0.0084,0.0291
car_Latn,0.0097,0.0038,0.0097
hot_Latn,0.0,0.0,0.0
yva_Latn,0.0097,0.0008,0.0097
mmn_Latn,0.0194,0.003,0.0194
kbr_Latn,0.0097,0.0013,0.0097
nsa_Latn,0.0097,0.0008,0.0097
rar_Latn,0.0291,0.0084,0.0291
tnn_Latn,0.0,0.0,0.0
aoz_Latn,0.0194,0.0127,0.0194
huv_Latn,0.0194,0.0063,0.0194
mgr_Latn,0.0291,0.008,0.0291
xuo_Latn,0.0097,0.0017,0.0097
gso_Latn,0.0097,0.0034,0.0097
heh_Latn,0.0291,0.0055,0.0291
zae_Latn,0.0097,0.0017,0.0097
mwl_Latn,0.2913,0.1026,0.2913
mya_Mymr,0.0097,0.0004,0.0097
ebk_Latn,0.0485,0.0101,0.0485
bgr_Latn,0.0097,0.0021,0.0097
ubr_Latn,0.0388,0.008,0.0388
yim_Latn,0.0097,0.0013,0.0097
mak_Latn,0.0388,0.0093,0.0388
top_Latn,0.0097,0.0008,0.0097
zsr_Latn,0.0194,0.0021,0.0194
gbo_Latn,0.0,0.0,0.0
cjp_Latn,0.0097,0.0004,0.0097
dip_Latn,0.0097,0.0008,0.0097
mcb_Latn,0.0097,0.0042,0.0097
bvr_Latn,0.0,0.0,0.0
esk_Latn,0.0097,0.0046,0.0097
ljp_Latn,0.0874,0.0346,0.0874
sue_Latn,0.0097,0.003,0.0097
mzw_Latn,0.0194,0.0008,0.0194
ceb_Latn,0.2136,0.049,0.2136
deu_Latn,0.5437,0.2718,0.5437
ksr_Latn,0.0,0.0,0.0
nav_Latn,0.0097,0.0017,0.0097
hnj_Latn,0.0485,0.0063,0.0485
tur_Latn,0.3883,0.1114,0.3883
mlp_Latn,0.0097,0.0008,0.0097
ghs_Latn,0.0097,0.0008,0.0097
mog_Latn,0.0194,0.0046,0.0194
qwh_Latn,0.0291,0.0097,0.0291
faa_Latn,0.0,0.0,0.0
mmo_Latn,0.0097,0.0013,0.0097
gil_Latn,0.0097,0.0008,0.0097
ium_Laoo,0.0097,0.0008,0.0097
bkv_Latn,0.0097,0.0008,0.0097
cas_Latn,0.0097,0.0017,0.0097
gyr_Latn,0.0291,0.0068,0.0291
yuw_Latn,0.0097,0.0008,0.0097
hil_Latn,0.1942,0.0426,0.1942
apw_Latn,0.0194,0.0021,0.0194
pib_Latn,0.0097,0.0013,0.0097
eka_Latn,0.0194,0.0063,0.0194
wol_Latn,0.0194,0.0034,0.0194
dad_Latn,0.0388,0.0106,0.0388
kdj_Latn,0.0194,0.0076,0.0194
cwt_Latn,0.0097,0.0038,0.0097
las_Latn,0.0097,0.0042,0.0097
nuy_Latn,0.0,0.0,0.0
kma_Latn,0.0097,0.0013,0.0097
smo_Latn,0.0291,0.0051,0.0291
knv_Latn,0.0,0.0,0.0
maj_Latn,0.0097,0.0004,0.0097
bdd_Latn,0.0097,0.0051,0.0097
bgs_Latn,0.0291,0.0068,0.0291
lbj_Tibt,0.0,0.0,0.0
guw_Latn,0.0097,0.0017,0.0097
zad_Latn,0.0194,0.0038,0.0194
mwm_Latn,0.0097,0.0008,0.0097
cko_Latn,0.0,0.0,0.0
crh_Cyrl,0.0485,0.0106,0.0485
aau_Latn,0.0194,0.0046,0.0194
irk_Latn,0.0291,0.0017,0.0291
teo_Latn,0.0194,0.0068,0.0194
mkd_Cyrl,0.6602,0.1718,0.6602
kpf_Latn,0.0097,0.0025,0.0097
nki_Latn,0.0194,0.0046,0.0194
tos_Latn,0.0,0.0,0.0
mca_Latn,0.0,0.0,0.0
lid_Latn,0.0097,0.0025,0.0097
pbb_Latn,0.0194,0.0025,0.0194
bfo_Latn,0.0291,0.0055,0.0291
dis_Latn,0.0097,0.0017,0.0097
bex_Latn,0.0,0.0,0.0
nng_Latn,0.0,0.0,0.0
gvc_Latn,0.0097,0.0004,0.0097
gej_Latn,0.0194,0.0063,0.0194
sml_Latn,0.0097,0.0004,0.0097
aia_Latn,0.0291,0.0046,0.0291
syc_Syrc,0.0097,0.0004,0.0097
nia_Latn,0.0097,0.0021,0.0097
wiv_Latn,0.0194,0.0055,0.0194
hla_Latn,0.0194,0.0051,0.0194
yut_Latn,0.0,0.0,0.0
lww_Latn,0.0097,0.0004,0.0097
enl_Latn,0.0097,0.0017,0.0097
cap_Latn,0.0097,0.0008,0.0097
bku_Latn,0.0388,0.0101,0.0388
ium_Latn,0.0194,0.0072,0.0194
quc_Latn,0.0194,0.0013,0.0194
kbp_Latn,0.0,0.0,0.0
vut_Latn,0.0,0.0,0.0
gla_Latn,0.1456,0.0346,0.1456
kdi_Latn,0.0194,0.0076,0.0194
apt_Latn,0.0194,0.0034,0.0194
nbc_Latn,0.0194,0.0051,0.0194
atd_Latn,0.0291,0.0097,0.0291
ojs_Cans,0.0,0.0,0.0
kpg_Latn,0.0194,0.0093,0.0194
bjk_Latn,0.0194,0.0093,0.0194
ksp_Latn,0.0097,0.0017,0.0097
mhr_Cyrl,0.0388,0.0089,0.0388
agm_Latn,0.0194,0.0008,0.0194
sey_Latn,0.0,0.0,0.0
kew_Latn,0.0291,0.0017,0.0291
ndz_Latn,0.0,0.0,0.0
myb_Latn,0.0194,0.011,0.0194
srp_Cyrl,0.5534,0.1663,0.5534
pbc_Latn,0.0291,0.003,0.0291
dje_Latn,0.0388,0.0118,0.0388
usp_Latn,0.0291,0.008,0.0291
akh_Latn,0.0,0.0,0.0
esi_Latn,0.0097,0.0017,0.0097
tik_Latn,0.0097,0.0008,0.0097
bug_Latn,0.0388,0.0093,0.0388
kje_Latn,0.0097,0.0034,0.0097
arz_Arab,0.0291,0.0046,0.0291
syb_Latn,0.0388,0.0097,0.0388
mvp_Latn,0.0388,0.0101,0.0388
mug_Latn,0.0291,0.008,0.0291
chz_Latn,0.0,0.0,0.0
aln_Latn,0.2913,0.0625,0.2913
huu_Latn,0.0097,0.0004,0.0097
cop_Copt,0.0,0.0,0.0
mah_Latn,0.0388,0.008,0.0388
fon_Latn,0.0,0.0,0.0
btx_Latn,0.0777,0.0274,0.0777
dhm_Latn,0.0485,0.0114,0.0485
wer_Latn,0.0097,0.0034,0.0097
xsu_Latn,0.0097,0.0004,0.0097
aeb_Arab,0.0,0.0,0.0
kpv_Cyrl,0.0097,0.0013,0.0097
apu_Latn,0.0,0.0,0.0
hin_Latn,0.0583,0.0156,0.0583
nfr_Latn,0.0194,0.0059,0.0194
cta_Latn,0.0,0.0,0.0
crx_Latn,0.0097,0.0004,0.0097
xon_Latn,0.0194,0.0046,0.0194
qub_Latn,0.0291,0.0051,0.0291
kbq_Latn,0.0097,0.0004,0.0097
afr_Latn,0.835,0.3959,0.835
ife_Latn,0.0,0.0,0.0
poy_Latn,0.0194,0.008,0.0194
caq_Latn,0.0097,0.0017,0.0097
enm_Latn,0.5146,0.3229,0.5146
zyb_Latn,0.0,0.0,0.0
dug_Latn,0.0291,0.0072,0.0291
lsi_Latn,0.0097,0.0008,0.0097
tsg_Latn,0.0291,0.0072,0.0291
tha_Thai,0.1359,0.0287,0.1359
ngc_Latn,0.0485,0.0068,0.0485
tpp_Latn,0.0097,0.0055,0.0097
tam_Taml,0.0388,0.0063,0.0388
mcn_Latn,0.0291,0.0051,0.0291
ots_Latn,0.0097,0.0025,0.0097
cle_Latn,0.0097,0.0008,0.0097
rup_Latn,0.0388,0.0097,0.0388
mpg_Latn,0.0388,0.0135,0.0388
djk_Latn,0.0291,0.0097,0.0291
cor_Latn,0.0485,0.0122,0.0485
nnh_Latn,0.0097,0.0004,0.0097
che_Cyrl,0.0097,0.0017,0.0097
hat_Latn,0.233,0.0654,0.233
pdt_Latn,0.1068,0.038,0.1068
zpi_Latn,0.0291,0.0051,0.0291
bsp_Latn,0.0,0.0,0.0
nin_Latn,0.0194,0.0042,0.0194
azg_Latn,0.0097,0.003,0.0097
ura_Latn,0.0,0.0,0.0
bdh_Latn,0.0,0.0,0.0
gvl_Latn,0.0097,0.0021,0.0097
hak_Hani,0.1553,0.0616,0.1553
maf_Latn,0.0388,0.008,0.0388
kmm_Latn,0.0194,0.0042,0.0194
tbf_Latn,0.0194,0.003,0.0194
acr_Latn,0.0194,0.0025,0.0194
taq_Latn,0.0,0.0,0.0
dah_Latn,0.0097,0.0008,0.0097
kat_Geor,0.0388,0.0063,0.0388
fub_Latn,0.0194,0.0017,0.0194
ifk_Latn,0.0291,0.0139,0.0291
qul_Latn,0.0097,0.0008,0.0097
gng_Latn,0.0097,0.0021,0.0097
boj_Latn,0.0097,0.0021,0.0097
nbl_Latn,0.0485,0.0152,0.0485
bis_Latn,0.0291,0.0084,0.0291
fal_Latn,0.0291,0.0089,0.0291
sco_Latn,0.1456,0.0591,0.1456
jid_Latn,0.0291,0.0084,0.0291
tlj_Latn,0.0,0.0,0.0
ell_Grek,0.534,0.0946,0.534
kyc_Latn,0.0097,0.0008,0.0097
nog_Cyrl,0.0194,0.0021,0.0194
zca_Latn,0.0,0.0,0.0
muh_Latn,0.0097,0.0004,0.0097
hau_Latn,0.0291,0.0097,0.0291
mco_Latn,0.0097,0.0013,0.0097
cmo_Khmr,0.0,0.0,0.0
lhu_Latn,0.0,0.0,0.0
zty_Latn,0.0097,0.0008,0.0097
mqy_Latn,0.0291,0.0093,0.0291
guz_Latn,0.0388,0.0131,0.0388
cnl_Latn,0.0097,0.0004,0.0097
zai_Latn,0.0388,0.0114,0.0388
rkb_Latn,0.0097,0.0004,0.0097
nsm_Latn,0.0097,0.0021,0.0097
qvz_Latn,0.0194,0.003,0.0194
sag_Latn,0.0291,0.008,0.0291
yuz_Latn,0.0097,0.0013,0.0097
cbi_Latn,0.0,0.0,0.0
bhl_Latn,0.0,0.0,0.0
srn_Latn,0.0971,0.0291,0.0971
enb_Latn,0.0097,0.0051,0.0097
bmb_Latn,0.0097,0.0059,0.0097
pio_Latn,0.0097,0.0004,0.0097
apz_Latn,0.0,0.0,0.0
kqy_Ethi,0.0,0.0,0.0
tbg_Latn,0.0,0.0,0.0
kgp_Latn,0.0194,0.0021,0.0194
mhl_Latn,0.0194,0.0063,0.0194
rnl_Latn,0.0194,0.0025,0.0194
bcl_Latn,0.1165,0.035,0.1165
meu_Latn,0.0291,0.0068,0.0291
otq_Latn,0.0097,0.0004,0.0097
buk_Latn,0.0097,0.0013,0.0097
ese_Latn,0.0097,0.0004,0.0097
kog_Latn,0.0,0.0,0.0
kue_Latn,0.0097,0.0021,0.0097
suk_Latn,0.0194,0.0008,0.0194
ons_Latn,0.0194,0.0017,0.0194
gnd_Latn,0.0,0.0,0.0
suz_Deva,0.0097,0.0004,0.0097
tab_Cyrl,0.0097,0.0008,0.0097
due_Latn,0.0291,0.0059,0.0291
fao_Latn,0.3107,0.0654,0.3107
csk_Latn,0.0097,0.003,0.0097
tvk_Latn,0.0194,0.0021,0.0194
ojb_Latn,0.0,0.0,0.0
srm_Latn,0.0097,0.0013,0.0097
ttc_Latn,0.0097,0.0017,0.0097
npy_Latn,0.0291,0.0101,0.0291
sbs_Latn,0.0194,0.0008,0.0194
nsn_Latn,0.0291,0.0059,0.0291
urd_Arab,0.1068,0.0207,0.1068
crt_Latn,0.0194,0.0021,0.0194
apy_Latn,0.0,0.0,0.0
wob_Latn,0.0,0.0,0.0
mxq_Latn,0.0,0.0,0.0
eko_Latn,0.0097,0.0034,0.0097
nou_Latn,0.0097,0.0008,0.0097
gvn_Latn,0.0194,0.0055,0.0194
ayr_Latn,0.0194,0.0017,0.0194
aze_Latn,0.2136,0.0473,0.2136
izr_Latn,0.0291,0.0042,0.0291
btt_Latn,0.0291,0.008,0.0291
kmo_Latn,0.0097,0.0017,0.0097
mbs_Latn,0.0291,0.008,0.0291
gag_Cyrl,0.0194,0.0089,0.0194
mad_Latn,0.0583,0.0106,0.0583
tna_Latn,0.0194,0.003,0.0194
hvn_Latn,0.0097,0.0025,0.0097
kha_Latn,0.0097,0.0025,0.0097
mwc_Latn,0.0291,0.0063,0.0291
zaj_Latn,0.0291,0.0101,0.0291
tzo_Latn,0.0194,0.0034,0.0194
tif_Latn,0.0,0.0,0.0
ake_Latn,0.0097,0.0004,0.0097
loq_Latn,0.0097,0.0034,0.0097
gaw_Latn,0.0097,0.0025,0.0097
bss_Latn,0.0097,0.0008,0.0097
met_Latn,0.0291,0.0051,0.0291
tlh_Latn,0.0583,0.0308,0.0583
nhr_Latn,0.0097,0.0004,0.0097
lus_Latn,0.0194,0.0008,0.0194
hmr_Latn,0.0097,0.0004,0.0097
kpj_Latn,0.0194,0.0013,0.0194
lem_Latn,0.0,0.0,0.0
kez_Latn,0.0097,0.003,0.0097
tcz_Latn,0.0194,0.0042,0.0194
miq_Latn,0.0291,0.0038,0.0291
shn_Mymr,0.0,0.0,0.0
kaz_Cyrl,0.1165,0.0127,0.1165
kud_Latn,0.0097,0.0042,0.0097
arp_Latn,0.0097,0.0034,0.0097
ian_Latn,0.0,0.0,0.0
aso_Latn,0.0,0.0,0.0
mxp_Latn,0.0097,0.0004,0.0097
kde_Latn,0.0194,0.0076,0.0194
tar_Latn,0.0,0.0,0.0
lbk_Latn,0.0388,0.0127,0.0388
rmy_Latn,0.068,0.0241,0.068
nso_Latn,0.0583,0.0131,0.0583
ivv_Latn,0.0194,0.0063,0.0194
npi_Deva,0.1456,0.0253,0.1456
twu_Latn,0.0291,0.008,0.0291
cbk_Latn,0.3204,0.1013,0.3204
dgr_Latn,0.0,0.0,0.0
nim_Latn,0.0291,0.0097,0.0291
bbr_Latn,0.0097,0.0017,0.0097
njz_Latn,0.0097,0.0025,0.0097
nys_Latn,0.0097,0.0046,0.0097
aim_Latn,0.0291,0.0063,0.0291
snw_Latn,0.0194,0.0042,0.0194
ajz_Latn,0.0194,0.008,0.0194
not_Latn,0.0097,0.0025,0.0097
urb_Latn,0.0097,0.0004,0.0097
nlc_Latn,0.0097,0.0004,0.0097
gux_Latn,0.0194,0.011,0.0194
tuk_Cyrl,0.0485,0.0055,0.0485
swe_Latn,0.8252,0.3558,0.8252
bnp_Latn,0.0291,0.0089,0.0291
fuf_Latn,0.0,0.0,0.0
mhi_Latn,0.0388,0.0106,0.0388
oym_Latn,0.0097,0.0004,0.0097
sab_Latn,0.0097,0.0013,0.0097
kal_Latn,0.0,0.0,0.0
quh_Latn,0.0291,0.0038,0.0291
tgl_Latn,0.4369,0.1182,0.4369
gid_Latn,0.0097,0.0034,0.0097
emp_Latn,0.0,0.0,0.0
tte_Latn,0.0097,0.003,0.0097
eng_Latn,1.0,1.0,1.0
mwe_Latn,0.0097,0.0025,0.0097
nij_Latn,0.0291,0.0139,0.0291
vid_Latn,0.0388,0.011,0.0388
wca_Latn,0.0097,0.0004,0.0097
shi_Latn,0.0,0.0,0.0
ald_Latn,0.0,0.0,0.0
snp_Latn,0.0097,0.0008,0.0097
nld_Latn,0.9223,0.5201,0.9223
bfd_Latn,0.0097,0.0008,0.0097
tzh_Latn,0.0194,0.0059,0.0194
pbi_Latn,0.0097,0.0013,0.0097
nnl_Latn,0.0097,0.0038,0.0097
qxr_Latn,0.0194,0.003,0.0194
akb_Latn,0.0583,0.0072,0.0583
bum_Latn,0.0291,0.003,0.0291
klv_Latn,0.0194,0.0063,0.0194
kix_Latn,0.0194,0.0051,0.0194
zpm_Latn,0.0097,0.0042,0.0097
sja_Latn,0.0097,0.0021,0.0097
