code,Qwen/Qwen3-Embedding-4B_max,Qwen/Qwen3-Embedding-4B_mean,avg
pab_Latn,0.0485,0.0139,0.0485
prk_Latn,0.0291,0.0068,0.0291
qxn_Latn,0.0874,0.0249,0.0874
sld_Latn,0.0194,0.0066,0.0194
kaa_Cyrl,0.2039,0.0766,0.2039
tca_Latn,0.0097,0.0005,0.0097
ntr_Latn,0.0291,0.0068,0.0291
yal_Latn,0.0291,0.0079,0.0291
yre_Latn,0.0291,0.005,0.0291
nbu_Latn,0.0388,0.0094,0.0388
tuf_Latn,0.0388,0.016,0.0388
cco_Latn,0.0291,0.0115,0.0291
ksf_Latn,0.0194,0.0037,0.0194
mos_Latn,0.0388,0.0123,0.0388
gkp_Latn,0.0097,0.0037,0.0097
adl_Latn,0.0291,0.0066,0.0291
qvc_Latn,0.0291,0.0071,0.0291
dww_Latn,0.0291,0.0066,0.0291
crn_Latn,0.0583,0.0071,0.0583
ldi_Latn,0.0291,0.0139,0.0291
nst_Latn,0.0291,0.0105,0.0291
tgp_Latn,0.0874,0.0304,0.0874
dgi_Latn,0.0388,0.0071,0.0388
ncj_Latn,0.0485,0.0184,0.0485
cag_Latn,0.0583,0.0215,0.0583
hix_Latn,0.0,0.0,0.0
stn_Latn,0.0388,0.0079,0.0388
glv_Latn,0.0388,0.0181,0.0388
tku_Latn,0.068,0.0136,0.068
xsr_Deva,0.0194,0.0034,0.0194
mbi_Latn,0.0291,0.0063,0.0291
guc_Latn,0.0485,0.015,0.0485
mrw_Latn,0.0388,0.0055,0.0388
ilo_Latn,0.0971,0.0307,0.0971
shu_Latn,0.0971,0.0352,0.0971
xed_Latn,0.0485,0.011,0.0485
iba_Latn,0.2039,0.0622,0.2039
sur_Latn,0.0485,0.0105,0.0485
ndo_Latn,0.0388,0.0199,0.0388
kff_Telu,0.0097,0.0024,0.0097
yao_Latn,0.0194,0.0047,0.0194
cuk_Latn,0.0388,0.021,0.0388
uig_Latn,0.0291,0.0084,0.0291
uli_Latn,0.0777,0.0215,0.0777
leu_Latn,0.0291,0.0087,0.0291
mop_Latn,0.0583,0.0202,0.0583
tue_Latn,0.0485,0.0118,0.0485
mur_Latn,0.0388,0.0045,0.0388
obo_Latn,0.068,0.0173,0.068
ind_Latn,0.9126,0.5505,0.9126
ory_Orya,0.6796,0.1923,0.6796
lip_Latn,0.0583,0.011,0.0583
mcu_Latn,0.0291,0.0094,0.0291
xav_Latn,0.0194,0.0005,0.0194
sop_Latn,0.0291,0.0087,0.0291
msk_Latn,0.0874,0.0184,0.0874
dig_Latn,0.0777,0.0236,0.0777
mbj_Latn,0.0388,0.0052,0.0388
rad_Latn,0.0583,0.0084,0.0583
bqc_Latn,0.0291,0.006,0.0291
bbj_Latn,0.0388,0.0165,0.0388
zas_Latn,0.0388,0.0194,0.0388
njb_Latn,0.0291,0.006,0.0291
kum_Cyrl,0.1068,0.0304,0.1068
enx_Latn,0.0291,0.0126,0.0291
pol_Latn,0.8932,0.4965,0.8932
wib_Latn,0.0291,0.0052,0.0291
mmx_Latn,0.0388,0.0131,0.0388
quw_Latn,0.0874,0.0286,0.0874
hye_Latn,0.0194,0.0018,0.0194
trc_Latn,0.0388,0.0087,0.0388
ksd_Latn,0.0874,0.0297,0.0874
ign_Latn,0.0583,0.0139,0.0583
nri_Latn,0.068,0.0186,0.068
yan_Latn,0.0291,0.0186,0.0291
mih_Latn,0.068,0.021,0.068
ntp_Latn,0.0291,0.0073,0.0291
yby_Latn,0.0097,0.0003,0.0097
lcm_Latn,0.0485,0.0123,0.0485
tcc_Latn,0.0194,0.0073,0.0194
mza_Latn,0.0388,0.0134,0.0388
sus_Latn,0.0388,0.011,0.0388
kvj_Latn,0.0291,0.0084,0.0291
bem_Latn,0.0485,0.0194,0.0485
ikk_Latn,0.0194,0.0066,0.0194
gwi_Latn,0.0388,0.0165,0.0388
dif_Latn,0.0583,0.0268,0.0583
bus_Latn,0.0291,0.005,0.0291
ahk_Latn,0.0,0.0,0.0
hye_Armn,0.6311,0.195,0.6311
pri_Latn,0.0388,0.0113,0.0388
qxl_Latn,0.0777,0.0205,0.0777
soq_Latn,0.0194,0.0108,0.0194
bvd_Latn,0.0291,0.0066,0.0291
bsj_Latn,0.0291,0.0079,0.0291
tof_Latn,0.0194,0.0047,0.0194
pwg_Latn,0.0388,0.01,0.0388
ame_Latn,0.0485,0.0142,0.0485
ptp_Latn,0.0194,0.0105,0.0194
khm_Khmr,0.3495,0.0564,0.3495
zar_Latn,0.0583,0.0163,0.0583
bru_Latn,0.0291,0.006,0.0291
aom_Latn,0.0388,0.0139,0.0388
alz_Latn,0.0388,0.0155,0.0388
khy_Latn,0.0194,0.0016,0.0194
snn_Latn,0.0194,0.0113,0.0194
cnw_Latn,0.068,0.0197,0.068
mqb_Latn,0.0388,0.005,0.0388
kgk_Latn,0.0388,0.0097,0.0388
ach_Latn,0.0291,0.0079,0.0291
ctu_Latn,0.0485,0.015,0.0485
giz_Latn,0.0388,0.0144,0.0388
sbk_Latn,0.0388,0.0139,0.0388
qva_Latn,0.0874,0.0278,0.0874
cbr_Latn,0.0485,0.0197,0.0485
hlt_Latn,0.0583,0.0115,0.0583
yua_Latn,0.068,0.0239,0.068
nch_Latn,0.0291,0.0113,0.0291
sxn_Latn,0.0777,0.0094,0.0777
shp_Latn,0.0583,0.0257,0.0583
kki_Latn,0.0291,0.0147,0.0291
kng_Latn,0.0291,0.0063,0.0291
mbl_Latn,0.0097,0.0003,0.0097
lif_Limb,0.0,0.0,0.0
eve_Cyrl,0.0485,0.0071,0.0485
lhi_Latn,0.0,0.0,0.0
azz_Latn,0.068,0.0199,0.068
aym_Latn,0.0971,0.0194,0.0971
pis_Latn,0.1165,0.0359,0.1165
old_Latn,0.0388,0.0147,0.0388
sgb_Latn,0.0583,0.0184,0.0583
cwe_Latn,0.0485,0.0163,0.0485
dwr_Latn,0.0194,0.0029,0.0194
sbl_Latn,0.0291,0.0073,0.0291
bhp_Latn,0.0583,0.0218,0.0583
emi_Latn,0.0291,0.0079,0.0291
cbu_Latn,0.0194,0.0024,0.0194
cab_Latn,0.0583,0.0118,0.0583
zia_Latn,0.0291,0.0113,0.0291
tuc_Latn,0.0194,0.0097,0.0194
ksc_Latn,0.0485,0.0236,0.0485
ded_Latn,0.0194,0.0018,0.0194
fry_Latn,0.2621,0.0855,0.2621
adi_Latn,0.0485,0.0168,0.0485
cpc_Latn,0.0388,0.0147,0.0388
mio_Latn,0.0485,0.0115,0.0485
roo_Latn,0.0388,0.005,0.0388
iry_Latn,0.0388,0.0155,0.0388
bov_Latn,0.068,0.0147,0.068
ndi_Latn,0.0485,0.0068,0.0485
arn_Latn,0.0388,0.0097,0.0388
tsz_Latn,0.0291,0.0115,0.0291
ces_Latn,0.9417,0.4841,0.9417
tpm_Latn,0.0485,0.0113,0.0485
msm_Latn,0.0583,0.0168,0.0583
pag_Latn,0.0874,0.0388,0.0874
gdg_Latn,0.0485,0.0223,0.0485
otn_Latn,0.0583,0.0126,0.0583
yml_Latn,0.0194,0.0084,0.0194
kia_Latn,0.0388,0.0171,0.0388
zpt_Latn,0.068,0.0223,0.068
mej_Latn,0.0583,0.0157,0.0583
gai_Latn,0.0097,0.0045,0.0097
inb_Latn,0.0583,0.0205,0.0583
wap_Latn,0.0777,0.0055,0.0777
gug_Latn,0.0874,0.0323,0.0874
knf_Latn,0.0291,0.0047,0.0291
maz_Latn,0.0485,0.0129,0.0485
jam_Latn,0.1748,0.0614,0.1748
zat_Latn,0.0777,0.0171,0.0777
tyv_Cyrl,0.0388,0.0084,0.0388
mtj_Latn,0.0485,0.016,0.0485
cbt_Latn,0.0097,0.0024,0.0097
cac_Latn,0.0777,0.0218,0.0777
qup_Latn,0.0777,0.0215,0.0777
kbc_Latn,0.0291,0.0092,0.0291
tbz_Latn,0.0097,0.0003,0.0097
acn_Latn,0.0388,0.0118,0.0388
lac_Latn,0.0388,0.0157,0.0388
pir_Latn,0.0388,0.0063,0.0388
wnc_Latn,0.0097,0.0003,0.0097
cul_Latn,0.0097,0.001,0.0097
min_Latn,0.1456,0.0559,0.1456
ron_Latn,0.9029,0.4665,0.9029
adh_Latn,0.0388,0.0142,0.0388
ita_Latn,0.9806,0.7035,0.9806
cpb_Latn,0.0388,0.0207,0.0388
nbq_Latn,0.0388,0.0081,0.0388
ksb_Latn,0.0194,0.0094,0.0194
naf_Latn,0.0194,0.0037,0.0194
uvl_Latn,0.0291,0.0118,0.0291
uig_Arab,0.1359,0.0294,0.1359
zpu_Latn,0.0583,0.0168,0.0583
gah_Latn,0.0097,0.0066,0.0097
hra_Latn,0.0485,0.022,0.0485
tiy_Latn,0.0291,0.0121,0.0291
mcr_Latn,0.0194,0.005,0.0194
bak_Cyrl,0.2427,0.0604,0.2427
cly_Latn,0.0388,0.015,0.0388
con_Latn,0.0388,0.0152,0.0388
lif_Deva,0.0097,0.0031,0.0097
mnk_Latn,0.0291,0.0071,0.0291
twi_Latn,0.0583,0.0176,0.0583
poh_Latn,0.0485,0.0189,0.0485
