code,script,fertility,fertility_decoder,tokens_per_char,alignment,num_tokenizers
cnt_Latn,Latn,101.308,109.135,0.6454,0.0251,4
cnw_Latn,Latn,51.96,51.99,0.3754,0.0428,4
coe_Latn,Latn,107.29,110.1,0.5291,0.0188,4
cof_Latn,Latn,61.778,61.175,0.3545,0.0303,4
cok_Latn,Latn,131.625,147.05,0.6313,0.0223,4
con_Latn,Latn,63.385,63.36,0.4313,0.0274,4
cop_Copt,Copt,133.017,228.165,1.2023,0.0023,4
cor_Latn,Latn,47.572,45.945,0.3994,0.0697,4
cot_Latn,Latn,82.315,84.13,0.3732,0.0086,4
cpa_Latn,Latn,99.66,100.55,0.5776,0.0257,4
cpb_Latn,Latn,56.625,58.57,0.3758,0.0382,4
cpc_Latn,Latn,56.895,58.97,0.3817,0.0371,4
cpu_Latn,Latn,56.478,58.285,0.3711,0.0382,4
crh_Cyrl,Cyrl,58.858,65.625,0.4865,0.1987,4
crm_Cans,Cans,106.415,166.99,1.159,0.0034,4
crn_Latn,Latn,154.63,172.87,0.6287,0.024,4
crq_Latn,Latn,84.282,82.585,0.4417,0.0223,4
crs_Latn,Latn,42.582,41.325,0.365,0.1993,4
crt_Latn,Latn,84.282,82.585,0.4417,0.0223,4
crx_Latn,Latn,76.59,74.03,0.4663,0.028,4
csk_Latn,Latn,60.585,62.5,0.4121,0.016,4
cso_Latn,Latn,126.735,130.91,0.6132,0.0183,4
csy_Latn,Latn,51.547,50.625,0.374,0.0657,4
cta_Latn,Latn,124.46,123.01,0.5097,0.0211,4
ctd_Latn,Latn,57.045,56.31,0.3869,0.0565,4
cth_Latn,Latn,51.238,52.515,0.39,0.0291,4
ctp_Latn,Latn,108.23,105.29,0.4575,0.0183,4
ctu_Latn,Latn,85.712,86.105,0.4665,0.0228,4
cub_Latn,Latn,98.48,103.26,0.5429,0.0206,4
cuc_Latn,Latn,99.765,108.78,0.6128,0.0188,4
cui_Latn,Latn,95.382,96.895,0.385,0.0205,4
cuk_Latn,Latn,67.407,65.395,0.4117,0.0285,4
cul_Latn,Latn,98.2,100.37,0.3746,0.0086,4
cut_Latn,Latn,72.27,71.92,0.4474,0.0285,4
cux_Latn,Latn,100.157,107.645,0.5276,0.0365,4
cwe_Latn,Latn,48.255,49.82,0.3757,0.0817,4
cwt_Latn,Latn,58.278,59.205,0.4434,0.0188,4
cya_Latn,Latn,76.525,73.46,0.4732,0.0245,4
cym_Latn,Latn,51.792,54.755,0.4025,0.3478,4
czt_Latn,Latn,57.19,58.17,0.4086,0.0343,4
daa_Latn,Latn,63.062,64.285,0.4567,0.0245,4
dad_Latn,Latn,52.03,50.16,0.407,0.0331,4
dah_Latn,Latn,82.297,86.325,0.4394,0.0177,4
dan_Latn,Latn,38.4,40.24,0.3203,0.8167,4
dar_Cyrl,Cyrl,68.387,71.365,0.5147,0.0137,4
ded_Latn,Latn,55.492,55.685,0.3909,0.0183,4
des_Latn,Latn,88.938,92.675,0.519,0.0217,4
deu_Latn,Latn,41.245,41.5,0.3129,0.6293,4
dgc_Latn,Latn,60.25,60.34,0.3769,0.0623,4
dgi_Latn,Latn,81.737,85.375,0.6574,0.0217,4
dgr_Latn,Latn,87.002,88.115,0.6358,0.0188,4
dgz_Latn,Latn,57.455,58.22,0.3736,0.0114,4
dhm_Latn,Latn,48.062,48.745,0.3895,0.0622,4
dif_Latn,Latn,52.197,56.115,0.351,0.0434,4
dig_Latn,Latn,48.7,50.34,0.3774,0.1108,4
dik_Latn,Latn,59.008,59.435,0.5173,0.0268,4
dip_Latn,Latn,53.438,53.625,0.4872,0.036,4
dis_Latn,Latn,47.655,48.51,0.3618,0.0263,4
dje_Latn,Latn,46.007,46.685,0.3895,0.04,4
djk_Latn,Latn,70.095,69.78,0.3714,0.0337,4
djr_Latn,Latn,153.632,160.325,0.4741,0.0057,4
dks_Latn,Latn,47.088,47.495,0.4771,0.0388,4
dnj_Latn,Latn,133.005,141.92,0.6747,0.0046,4
dob_Latn,Latn,68.637,68.955,0.4141,0.012,4
dop_Latn,Latn,88.172,94.905,0.6782,0.0188,4
dov_Latn,Latn,46.695,50.36,0.3868,0.0919,4
dow_Latn,Latn,69.097,72.645,0.5825,0.024,4
dru_Latn,Latn,63.533,66.105,0.372,0.024,4
dtp_Latn,Latn,75.382,76.005,0.3801,0.0257,4
dts_Latn,Latn,76.772,78.835,0.537,0.0188,4
