code,cis-lmu/glot500-base_max,cis-lmu/glot500-base_mean,avg
kxm_Thai,0.0,0.0,0.0
itv_Latn,0.0,0.0,0.0
cpu_Latn,0.0097,0.0007,0.0097
ata_Latn,0.0,0.0,0.0
dar_Cyrl,0.0,0.0,0.0
ziw_Latn,0.0388,0.0172,0.0388
ghe_Deva,0.0097,0.0007,0.0097
naq_Latn,0.1068,0.0351,0.1068
blw_Latn,0.0097,0.0015,0.0097
miy_Latn,0.0,0.0,0.0
wwa_Latn,0.0,0.0,0.0
dyi_Latn,0.0,0.0,0.0
hrv_Latn,0.8058,0.4347,0.8058
cmn_Hani,0.5437,0.2599,0.5437
zul_Latn,0.5825,0.2382,0.5825
kiw_Latn,0.0,0.0,0.0
mfk_Latn,0.0,0.0,0.0
hto_Latn,0.0,0.0,0.0
nxd_Latn,0.0194,0.0052,0.0194
wro_Latn,0.0194,0.0037,0.0194
yle_Latn,0.0,0.0,0.0
yor_Latn,0.0777,0.0254,0.0777
zac_Latn,0.0097,0.0022,0.0097
bam_Latn,0.2913,0.0934,0.2913
bgt_Latn,0.0291,0.0067,0.0291
gup_Latn,0.0097,0.0015,0.0097
mam_Latn,0.0388,0.0157,0.0388
gle_Latn,0.3689,0.1202,0.3689
rmq_Latn,0.0485,0.0336,0.0485
ctd_Latn,0.3204,0.1143,0.3204
gor_Latn,0.0485,0.0202,0.0485
lat_Latn,0.7864,0.4481,0.7864
asg_Latn,0.0,0.0,0.0
ven_Latn,0.2621,0.0926,0.2621
kwd_Latn,0.0,0.0,0.0
bmh_Latn,0.0,0.0,0.0
cbc_Latn,0.0097,0.0007,0.0097
myv_Cyrl,0.0971,0.0381,0.0971
dgz_Latn,0.0,0.0,0.0
bkq_Latn,0.0,0.0,0.0
krj_Latn,0.1748,0.0665,0.1748
cat_Latn,0.699,0.3809,0.699
tdt_Latn,0.3592,0.1329,0.3592
kac_Latn,0.1359,0.0433,0.1359
dts_Latn,0.0097,0.0007,0.0097
qug_Latn,0.3495,0.1344,0.3495
lgm_Latn,0.0485,0.0194,0.0485
mwm_Latn,0.1553,0.0575,0.1553
zad_Latn,0.0,0.0,0.0
cko_Latn,0.0,0.0,0.0
bdd_Latn,0.0,0.0,0.0
lbj_Tibt,0.0,0.0,0.0
bgs_Latn,0.0194,0.0075,0.0194
guw_Latn,0.3786,0.1292,0.3786
smo_Latn,0.1942,0.065,0.1942
kma_Latn,0.0,0.0,0.0
maj_Latn,0.0,0.0,0.0
knv_Latn,0.0777,0.0217,0.0777
kdj_Latn,0.0194,0.0067,0.0194
las_Latn,0.0194,0.0052,0.0194
cwt_Latn,0.0097,0.0037,0.0097
nuy_Latn,0.0,0.0,0.0
pib_Latn,0.0097,0.0007,0.0097
apw_Latn,0.0,0.0,0.0
hil_Latn,0.6019,0.2562,0.6019
eka_Latn,0.0097,0.0015,0.0097
dad_Latn,0.0194,0.006,0.0194
wol_Latn,0.1748,0.0657,0.1748
bkv_Latn,0.0097,0.0007,0.0097
gyr_Latn,0.0097,0.006,0.0097
cas_Latn,0.0,0.0,0.0
yuw_Latn,0.0,0.0,0.0
mmo_Latn,0.0,0.0,0.0
gil_Latn,0.1748,0.056,0.1748
ium_Laoo,0.0,0.0,0.0
mlp_Latn,0.0097,0.0007,0.0097
ghs_Latn,0.0097,0.0007,0.0097
faa_Latn,0.0,0.0,0.0
qwh_Latn,0.1068,0.0426,0.1068
mog_Latn,0.0097,0.0007,0.0097
ksr_Latn,0.0,0.0,0.0
deu_Latn,0.2136,0.112,0.2136
hnj_Latn,0.2913,0.0934,0.2913
nav_Latn,0.0194,0.0075,0.0194
tur_Latn,0.6019,0.298,0.6019
mzw_Latn,0.0097,0.0007,0.0097
sue_Latn,0.0,0.0,0.0
ceb_Latn,0.3592,0.1329,0.3592
mcb_Latn,0.0097,0.0022,0.0097
bvr_Latn,0.0,0.0,0.0
ljp_Latn,0.0874,0.0493,0.0874
esk_Latn,0.0194,0.0037,0.0194
dip_Latn,0.0194,0.0037,0.0194
cjp_Latn,0.0,0.0,0.0
top_Latn,0.0097,0.003,0.0097
zsr_Latn,0.0,0.0,0.0
gbo_Latn,0.0,0.0,0.0
ubr_Latn,0.0097,0.0045,0.0097
yim_Latn,0.0,0.0,0.0
mak_Latn,0.0097,0.0007,0.0097
ebk_Latn,0.0291,0.0119,0.0291
bgr_Latn,0.0971,0.0388,0.0971
