code,Qwen/Qwen3-8B-Base_max,Qwen/Qwen3-8B-Base_mean,avg
kki_Latn,0.0291,0.0081,0.0291
sxn_Latn,0.0291,0.0076,0.0291
azz_Latn,0.0097,0.0055,0.0097
aym_Latn,0.0291,0.0068,0.0291
kng_Latn,0.0194,0.0018,0.0194
mbl_Latn,0.0,0.0,0.0
lif_Limb,0.0097,0.0003,0.0097
eve_Cyrl,0.0291,0.0047,0.0291
lhi_Latn,0.0,0.0,0.0
gdg_Latn,0.0291,0.0123,0.0291
otn_Latn,0.0291,0.006,0.0291
msm_Latn,0.0291,0.0087,0.0291
pag_Latn,0.0388,0.0142,0.0388
wap_Latn,0.0097,0.0018,0.0097
inb_Latn,0.0291,0.0087,0.0291
yml_Latn,0.0097,0.0016,0.0097
kia_Latn,0.0097,0.0034,0.0097
zpt_Latn,0.0291,0.0115,0.0291
mej_Latn,0.0291,0.0105,0.0291
gai_Latn,0.0097,0.0013,0.0097
adi_Latn,0.0194,0.0047,0.0194
cpc_Latn,0.0291,0.0081,0.0291
zia_Latn,0.0194,0.0052,0.0194
tuc_Latn,0.0291,0.0092,0.0291
ksc_Latn,0.0388,0.0142,0.0388
ded_Latn,0.0097,0.0045,0.0097
fry_Latn,0.165,0.0483,0.165
bov_Latn,0.0291,0.0076,0.0291
ndi_Latn,0.0097,0.0016,0.0097
arn_Latn,0.0194,0.0045,0.0194
ces_Latn,0.6214,0.2855,0.6214
tsz_Latn,0.0194,0.0081,0.0194
tpm_Latn,0.0097,0.0037,0.0097
mio_Latn,0.0194,0.0058,0.0194
roo_Latn,0.0097,0.0003,0.0097
iry_Latn,0.0388,0.0115,0.0388
qup_Latn,0.0194,0.0045,0.0194
kbc_Latn,0.0194,0.0068,0.0194
cbt_Latn,0.0097,0.0008,0.0097
cac_Latn,0.0291,0.0118,0.0291
pir_Latn,0.0097,0.0018,0.0097
tbz_Latn,0.0,0.0,0.0
acn_Latn,0.0291,0.0047,0.0291
lac_Latn,0.0194,0.0081,0.0194
knf_Latn,0.0097,0.0021,0.0097
maz_Latn,0.0194,0.0071,0.0194
gug_Latn,0.0291,0.01,0.0291
zat_Latn,0.0194,0.0063,0.0194
tyv_Cyrl,0.0291,0.0076,0.0291
mtj_Latn,0.0291,0.0102,0.0291
jam_Latn,0.0583,0.0139,0.0583
zpu_Latn,0.0194,0.0089,0.0194
gah_Latn,0.0097,0.0016,0.0097
uvl_Latn,0.0097,0.0029,0.0097
uig_Arab,0.0583,0.0118,0.0583
bak_Cyrl,0.0777,0.0239,0.0777
cly_Latn,0.0194,0.0089,0.0194
con_Latn,0.0388,0.0071,0.0388
lif_Deva,0.0,0.0,0.0
hra_Latn,0.0194,0.0042,0.0194
tiy_Latn,0.0291,0.0094,0.0291
mcr_Latn,0.0097,0.0024,0.0097
cul_Latn,0.0,0.0,0.0
min_Latn,0.068,0.0265,0.068
ron_Latn,0.7184,0.3225,0.7184
wnc_Latn,0.0,0.0,0.0
nbq_Latn,0.0097,0.0029,0.0097
ksb_Latn,0.0291,0.0068,0.0291
naf_Latn,0.0097,0.0005,0.0097
adh_Latn,0.0291,0.0071,0.0291
ita_Latn,0.8738,0.5413,0.8738
cpb_Latn,0.0388,0.0105,0.0388
ayo_Latn,0.0194,0.0039,0.0194
gvs_Latn,0.0097,0.0018,0.0097
gud_Latn,0.0097,0.0031,0.0097
pcm_Latn,0.1359,0.0514,0.1359
cme_Latn,0.0097,0.0045,0.0097
