code,Qwen/Qwen3-0.6B_max,Qwen/Qwen3-0.6B_mean,avg
shp_Latn,0.0097,0.0023,0.0097
mbl_Latn,0.0097,0.0003,0.0097
lif_Limb,0.0,0.0,0.0
eve_Cyrl,0.0097,0.0013,0.0097
lhi_Latn,0.0,0.0,0.0
kng_Latn,0.0097,0.0017,0.0097
aym_Latn,0.0194,0.0027,0.0194
azz_Latn,0.0097,0.0074,0.0097
adj_Latn,0.0097,0.0007,0.0097
byr_Latn,0.0097,0.0013,0.0097
pan_Guru,0.0,0.0,0.0
pma_Latn,0.0097,0.001,0.0097
att_Latn,0.0097,0.0037,0.0097
hmo_Latn,0.0097,0.001,0.0097
spy_Latn,0.0,0.0,0.0
ndj_Latn,0.0097,0.002,0.0097
kvn_Latn,0.0194,0.0047,0.0194
mil_Latn,0.0097,0.0013,0.0097
qxh_Latn,0.0194,0.0064,0.0194
otm_Latn,0.0097,0.0023,0.0097
mcp_Latn,0.0097,0.0007,0.0097
nma_Latn,0.0,0.0,0.0
run_Latn,0.0097,0.003,0.0097
pad_Latn,0.0097,0.0003,0.0097
nho_Latn,0.0194,0.0057,0.0194
efi_Latn,0.0291,0.0033,0.0291
sil_Latn,0.0097,0.002,0.0097
tob_Latn,0.0194,0.004,0.0194
lol_Latn,0.0097,0.001,0.0097
anv_Latn,0.0,0.0,0.0
bsn_Latn,0.0097,0.0023,0.0097
